,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00104350,68,11,40,4,1,4,2,2,2,2,-,1,-,-,-
S00104351,67,14,27,6,-,1,15,3,1,-,-,-,-,-,-
S00104352,50,5,21,3,3,-,11,1,-,5,1,-,1,1,-
S00104353,86,9,48,4,3,7,6,5,1,1,2,1,-,-,-
S00104354,59,13,21,2,4,-,9,6,3,1,-,3,-,1,-
S00104355,136,10,93,13,2,2,6,4,5,-,1,-,-,-,-
S00104356,58,9,25,11,8,-,1,2,-,-,2,1,2,1,1
S00104357,110,8,68,9,1,4,9,3,6,2,-,-,-,-,1
S00104358,72,9,35,5,4,4,4,9,-,1,1,-,-,1,1
S00104359,132,11,80,12,4,5,4,13,-,-,3,-,-,-,1
S00104360,84,10,53,3,5,2,5,3,2,-,1,-,3,1,1
S00104361,72,12,35,5,2,-,5,2,4,4,3,-,-,-,1
S00104362,104,8,63,7,3,6,4,5,2,5,1,1,-,-,-
S00104363,55,6,34,6,2,3,1,1,-,2,-,-,-,-,1
S00104364,85,4,62,8,3,4,1,2,1,-,-,-,-,-,-
S00104365,140,12,77,24,3,3,4,5,6,3,3,-,1,-,-
S00104366,86,12,34,5,7,8,7,3,3,4,3,2,1,-,1
S00104367,67,5,34,4,3,3,11,-,-,7,-,1,1,-,1
S00104368,70,10,31,5,-,3,8,2,2,7,2,-,-,-,-
S00104369,105,5,63,7,8,7,6,4,3,2,-,3,1,-,2
S00104370,81,7,27,9,5,3,15,1,1,10,3,1,1,1,1
S00104371,58,10,26,3,1,3,5,3,1,6,-,-,-,-,-
S00104372,45,1,13,10,1,2,8,6,4,-,-,-,-,-,-
S00104373,70,3,36,11,3,3,7,4,3,-,-,-,-,-,1
S00104374,100,6,44,17,2,2,10,16,1,-,2,-,2,-,1
S00104375,83,6,32,17,-,10,3,9,5,-,1,-,-,-,-
S00104376,94,5,44,11,2,7,5,16,1,2,1,1,-,-,-
S00104377,99,5,42,11,7,10,3,17,-,-,4,2,1,2,2
S00104378,68,5,33,5,7,3,2,11,-,1,1,-,3,-,4
S00104379,99,6,46,14,-,6,1,20,-,5,1,-,-,-,-
S00104380,88,6,55,8,1,5,3,10,-,-,-,-,-,-,1
S00104381,92,9,42,12,4,4,8,10,-,2,1,2,1,1,-
S00104382,63,6,31,3,2,6,1,7,2,3,2,1,-,-,1
S00104383,90,7,43,7,6,12,2,3,6,2,2,1,1,-,2
S00104384,65,7,38,7,2,2,2,6,1,-,-,1,-,1,1
S00104385,60,7,33,5,3,1,6,2,1,1,1,-,-,-,-
S00104386,82,4,42,6,5,7,3,7,3,5,-,1,-,-,-
S00104387,107,8,49,8,4,15,1,19,1,-,2,-,-,-,1
S00104388,79,7,47,7,1,4,4,3,3,3,-,1,-,-,-
S00104389,81,8,47,10,1,5,1,4,3,-,2,-,-,-,-
S00104390,104,9,55,8,2,8,4,10,2,2,4,1,-,-,-
S00104391,78,8,45,9,2,3,6,3,2,-,-,-,-,-,-
S00104392,68,6,26,10,2,6,5,10,2,-,1,-,-,-,1
S00104393,87,6,49,15,5,2,2,6,1,1,-,2,1,-,-
S00104394,60,5,33,10,1,2,5,3,-,-,1,-,1,-,1
S00104395,70,6,28,13,3,8,2,7,1,2,-,1,2,-,-
S00104396,77,3,31,16,1,6,7,8,-,5,-,-,-,-,-
S00104397,87,8,31,18,1,1,14,10,3,1,-,-,-,-,-
S00104398,91,9,34,5,7,13,5,9,1,4,4,1,1,1,4
S00104399,74,9,37,10,1,5,2,2,2,4,2,1,-,-,-
S00104400,65,6,26,7,5,8,5,8,-,-,-,2,-,1,2
S00104401,72,7,27,8,11,7,3,2,3,1,3,1,1,-,4
S00104402,51,6,7,3,1,-,14,2,3,13,2,-,1,-,-
S00104403,99,11,34,7,8,7,7,7,5,9,4,2,-,1,2
S00104404,78,7,18,6,1,2,19,15,3,3,4,-,1,-,-
S00104405,72,9,32,2,3,8,1,14,-,2,1,2,-,2,-
S00104406,108,7,66,6,6,7,4,7,3,1,1,4,1,-,2
S00104407,61,7,36,3,6,1,5,2,-,1,-,-,-,-,2
S00104408,76,5,53,4,2,1,7,-,-,4,-,1,-,1,1
S00104409,76,7,53,1,3,1,-,1,-,6,4,1,-,-,-
S00104410,114,13,45,16,5,4,12,13,2,2,2,1,2,1,2
S00104411,89,10,43,11,4,-,17,-,1,1,2,-,1,-,2
S00104412,65,9,31,5,3,6,5,3,-,1,2,1,-,-,-
S00104413,90,13,44,3,6,5,2,10,1,3,3,1,1,1,2
S00104414,56,3,35,4,2,2,7,2,1,-,-,-,-,-,-
S00104415,44,7,25,2,2,2,6,-,-,-,-,1,-,-,1
S00104416,95,7,46,6,10,6,7,6,5,1,1,3,3,1,3
S00104417,66,8,31,2,4,4,6,2,3,4,2,2,1,2,2
S00104418,70,5,37,7,3,6,4,6,1,1,-,2,-,1,1
S00104419,119,11,74,9,6,9,1,7,-,-,2,2,-,1,1
S00104420,72,9,45,8,4,2,1,3,-,-,-,-,-,-,-
S00104421,84,9,44,7,2,8,1,8,-,2,3,-,-,-,1
S00104422,120,14,73,12,2,4,5,1,-,4,5,1,-,-,1
S00104423,79,3,59,4,1,-,4,4,1,3,-,-,1,-,1
S00104424,47,4,19,2,2,-,15,2,-,2,1,1,1,-,-
S00104425,109,10,74,5,2,3,6,2,2,5,-,-,-,-,-
S00104426,52,7,16,11,5,4,1,3,-,-,5,3,-,-,1
S00104427,52,5,35,8,-,1,-,1,1,-,1,-,-,-,-
S00104428,67,8,43,4,2,2,1,4,2,1,-,-,1,-,2
S00104429,65,7,26,3,2,4,9,5,1,7,1,-,-,-,1
S00104430,55,8,23,4,1,2,4,7,3,1,2,-,-,1,-
S00104431,84,9,47,3,8,2,7,4,-,4,-,-,-,-,1
S00104432,55,1,27,2,5,5,9,4,-,2,-,-,1,-,2
S00104433,78,9,40,3,1,7,3,10,4,-,1,-,-,-,1
S00104434,93,6,51,8,3,11,1,6,4,2,1,1,-,1,1
S00104435,55,3,38,1,-,2,7,3,-,-,1,-,-,-,-
S00104436,98,7,58,10,2,7,-,10,2,-,2,1,-,1,-
S00104437,105,7,74,4,-,11,1,6,1,1,-,-,-,-,-
S00104438,86,8,45,8,2,10,3,5,2,3,-,1,-,1,1
S00104439,52,6,25,5,3,3,3,5,-,1,1,1,-,1,-
S00104440,104,10,53,6,4,9,6,8,4,3,1,1,1,-,2
S00104441,97,3,53,8,7,6,3,15,1,1,-,1,1,2,3
S00104442,59,6,26,6,4,3,4,5,4,-,1,1,-,-,1
S00104443,58,6,32,1,3,5,2,3,2,4,-,-,1,-,2
S00104444,76,6,47,4,5,7,-,2,3,-,2,-,2,-,1
S00104445,101,6,74,7,4,3,1,6,-,-,-,1,-,-,2
S00104446,77,8,51,5,4,6,-,1,2,-,-,1,-,1,1
S00104447,92,8,64,7,3,8,1,-,1,-,-,-,-,-,2
S00104448,79,11,37,4,11,2,4,5,-,1,4,2,1,2,4
S00104449,80,5,45,5,5,7,4,2,-,4,3,1,-,-,-
S00104450,50,6,23,10,2,1,1,3,1,2,1,1,1,-,-
S00104451,123,16,66,7,3,8,7,10,3,3,-,1,-,-,1
S00104452,102,11,58,8,3,6,4,4,-,5,3,-,-,-,3
S00104453,66,4,30,7,5,6,3,6,1,2,2,2,-,-,2
S00104454,77,6,38,6,6,2,2,10,2,5,-,1,1,-,3
S00104455,129,6,80,7,7,11,5,4,3,1,5,2,2,-,3
S00104456,115,13,61,7,7,11,4,5,-,4,3,-,1,-,3
S00104457,80,6,31,4,3,-,12,7,4,9,4,2,-,1,-
S00104458,83,9,46,4,2,8,4,6,1,2,1,-,-,-,2
S00104459,72,5,38,2,5,3,9,2,1,4,3,3,-,1,-
S00104460,56,8,26,3,3,8,2,5,-,1,-,-,-,-,2
S00104461,66,7,31,3,6,4,1,2,2,10,-,2,3,1,1
S00104462,116,14,43,5,13,2,12,8,8,10,1,4,2,2,5
S00104463,91,7,37,3,4,14,14,6,1,5,-,1,-,1,-
S00104464,98,7,54,9,4,5,5,5,1,6,2,-,1,-,3
S00104465,54,4,31,5,2,6,2,4,-,-,-,-,1,-,1
S00104466,73,10,49,1,4,3,4,-,1,1,-,-,1,-,1
S00104467,55,3,11,3,9,-,17,-,-,12,-,1,-,-,8
S00104468,95,16,36,11,-,4,23,2,-,2,1,-,-,-,-
S00104469,68,11,20,5,5,1,12,-,4,7,3,-,2,1,3
S00104470,98,4,30,2,12,-,16,2,7,21,4,-,4,-,7
S00104471,97,14,30,2,11,1,11,-,3,21,4,3,3,3,3
S00104472,65,11,12,4,5,3,10,2,9,8,1,1,1,3,1
S00104473,108,9,31,1,5,2,28,3,10,15,4,2,1,3,2
S00104474,111,16,33,1,4,13,21,9,2,9,3,2,-,-,1
S00104475,98,10,35,6,8,4,10,1,5,16,3,2,1,1,4
S00104476,77,10,24,8,3,-,8,4,7,6,7,3,-,2,-
S00104477,70,11,20,13,3,3,14,-,2,2,2,1,1,1,2
S00104478,88,12,36,6,3,5,12,3,3,7,1,1,-,-,1
S00104479,57,12,20,4,1,1,13,2,3,1,-,-,-,-,1
S00104480,79,12,47,4,5,2,2,2,1,2,2,1,-,1,3
S00104481,58,4,24,1,3,1,8,1,-,13,3,-,1,-,1
S00104482,97,7,65,5,4,1,6,6,-,3,-,-,2,-,2
S00104483,66,8,40,8,-,3,-,3,1,-,3,-,-,-,-
S00104484,97,6,51,4,9,3,11,3,2,5,3,-,4,-,5
S00104485,84,9,39,4,2,3,13,3,2,5,4,1,-,-,-
S00104486,81,12,34,-,5,2,12,2,2,10,2,2,2,-,1
S00104487,113,10,74,6,5,5,3,6,1,2,1,1,-,-,1
S00104488,95,9,27,4,1,3,23,2,-,20,6,-,-,-,1
S00104489,94,7,34,8,14,3,13,2,1,10,2,4,2,2,7
S00104490,86,9,35,5,4,2,20,1,2,7,1,2,2,1,2
S00104491,90,14,45,3,6,1,10,-,2,9,-,2,1,-,2
S00104492,52,8,18,3,6,1,6,2,2,5,1,1,-,-,2
S00104493,72,7,18,-,5,1,24,2,5,9,1,1,2,-,3
S00104494,73,9,26,3,1,1,12,-,8,8,5,-,-,-,-
S00104495,130,25,55,13,1,8,15,5,7,1,-,1,-,1,-
S00104496,75,7,23,8,2,1,23,1,2,6,2,1,-,-,1
S00104497,96,22,33,4,6,3,9,6,3,7,3,-,1,-,5
S00104498,65,9,18,5,8,1,9,1,1,10,3,-,2,-,5
S00104499,64,4,26,-,5,1,8,3,7,7,3,1,1,2,2
S00104500,60,5,22,1,6,1,9,2,4,8,2,-,-,-,3
S00104501,55,7,19,2,6,-,5,3,5,8,-,2,1,1,4
S00104502,77,13,24,7,3,6,17,1,3,2,1,-,2,-,1
S00104503,56,9,19,2,-,3,15,2,3,1,2,-,-,-,-
S00104504,85,9,36,6,6,3,18,2,-,4,1,-,3,-,5
S00104505,121,21,49,13,3,2,26,4,3,-,-,2,1,-,-
S00104506,101,15,38,6,3,4,28,5,-,1,1,1,-,1,1
S00104507,85,15,28,12,2,-,21,5,-,-,2,1,-,-,-
S00104508,93,13,36,12,4,1,19,3,4,-,1,3,-,2,-
S00104509,75,11,25,5,2,2,23,2,5,-,-,-,-,-,2
S00104510,72,15,28,3,-,-,22,-,1,1,2,-,-,-,-
S00104511,77,14,28,6,1,4,18,4,-,-,2,-,1,-,-
S00104512,70,7,32,3,5,2,21,-,-,-,-,3,1,1,-
S00104513,70,19,22,9,-,1,16,-,2,-,1,-,-,-,-
S00104514,98,16,31,8,3,4,19,7,3,4,3,1,-,2,-
S00104515,84,12,34,6,2,1,20,2,1,1,5,-,-,-,2
S00104516,100,15,48,5,2,5,17,3,2,2,1,1,-,1,-
S00104517,98,10,22,13,6,-,21,9,11,4,2,3,-,-,1
S00104518,85,10,25,7,3,1,23,6,3,3,4,1,1,-,-
S00104519,76,16,23,13,1,1,18,2,1,-,1,-,1,-,1
S00104520,76,15,27,8,1,6,9,6,2,-,2,1,-,-,-
S00104521,25,2,2,-,-,-,13,-,-,7,1,-,-,-,-
S00104522,87,11,34,7,6,5,13,-,5,6,-,2,1,-,-
S00104523,47,2,7,1,4,1,5,2,6,14,5,1,-,-,2
S00104524,49,7,8,3,8,3,2,1,4,12,1,1,1,1,3
S00104525,43,13,10,2,7,-,2,-,2,7,-,-,3,1,4
S00104526,55,12,11,1,6,2,4,8,2,6,3,2,2,2,3
S00104527,85,15,26,2,6,3,10,4,5,9,5,3,-,-,1
S00104528,47,7,15,-,6,1,1,2,4,9,2,2,1,1,2
S00104529,56,8,16,1,4,-,9,2,5,9,2,2,1,1,1
S00104530,57,6,19,3,4,-,7,5,4,7,2,1,1,1,2
S00104531,69,7,17,10,3,2,13,3,1,11,2,3,-,-,1
S00104532,58,12,22,4,2,1,6,1,4,6,-,2,-,-,1
S00104533,61,4,22,3,5,4,9,2,2,7,3,1,2,1,3
S00104534,77,10,27,5,11,4,4,1,5,5,5,-,1,-,5
S00104535,76,15,27,3,7,1,7,4,4,7,1,3,1,1,3
S00104536,73,12,24,4,3,-,11,2,5,8,4,2,-,1,-
S00104537,49,9,16,2,3,1,5,2,-,7,4,-,-,1,1
S00104538,104,19,34,9,7,3,12,8,8,3,1,1,1,-,4
S00104539,72,14,17,3,4,-,15,4,5,9,1,2,-,1,1
S00104540,106,21,29,9,8,1,19,4,-,13,2,2,1,-,6
S00104541,71,13,24,4,7,-,9,2,3,6,3,1,3,2,2
S00104542,96,18,31,9,3,5,17,7,3,2,1,1,-,-,1
S00104543,52,7,12,4,5,2,7,-,8,3,4,3,2,3,-
S00104544,76,10,27,10,2,1,21,-,4,-,1,1,1,-,-
S00104545,88,16,24,15,1,1,15,7,4,5,-,1,-,1,-
S00104546,86,16,40,7,1,-,15,1,4,2,-,-,-,-,1
S00104547,100,12,38,13,5,5,18,4,1,3,1,2,2,1,2
S00104548,114,9,50,7,3,16,-,7,6,14,2,2,-,1,1
S00104549,80,8,49,6,-,4,1,9,2,1,-,-,-,-,-
S00104550,94,9,56,4,3,4,-,10,2,2,4,1,-,-,1
S00104551,70,5,32,4,2,1,12,-,4,10,-,1,-,1,1
S00104552,107,13,52,8,5,17,2,4,2,1,3,2,-,-,3
S00104553,90,9,39,3,7,10,7,5,5,5,-,1,1,2,3
S00104554,74,12,30,6,1,1,16,4,4,-,-,1,-,1,-
S00104555,65,16,27,3,3,2,5,2,2,5,-,2,1,2,1
S00104556,69,6,19,7,1,4,28,1,1,2,-,-,1,-,-
S00104557,39,3,12,-,1,-,17,-,-,3,3,-,-,1,-
S00104558,59,10,25,6,5,2,3,3,2,3,-,2,1,-,3
S00104559,79,9,27,3,6,1,12,6,5,8,2,3,1,1,1
S00104560,66,7,20,3,1,3,11,5,3,9,4,-,-,-,1
S00104561,82,9,39,6,7,2,10,1,-,5,3,1,-,3,3
S00104562,68,12,28,3,2,5,11,-,1,4,2,-,1,-,1
S00104563,47,4,16,3,6,-,4,5,2,3,4,1,-,1,2
S00104564,60,6,35,1,1,1,12,-,-,2,2,-,-,-,-
S00104565,143,30,47,19,6,6,26,2,4,2,1,2,-,1,2
S00104566,90,12,31,10,1,6,20,6,-,2,2,1,-,1,-
S00104567,94,19,34,4,2,6,23,4,2,-,-,2,-,-,-
S00104568,76,12,23,11,-,4,12,5,7,-,2,-,-,-,-
S00104569,80,13,28,5,-,3,18,4,4,5,-,-,-,-,-
S00104570,79,7,26,11,2,-,25,5,1,2,-,1,1,-,-
S00104571,74,15,22,5,3,-,22,3,3,1,-,-,2,-,1
S00104572,84,13,27,5,-,6,25,4,2,1,1,-,-,-,-
S00104573,105,8,56,9,2,4,16,5,4,1,-,-,1,-,1
S00104574,55,4,37,3,2,2,1,2,3,1,-,1,-,-,-
S00104575,89,14,40,14,1,3,9,4,2,1,1,-,-,-,-
S00104576,73,11,24,7,-,3,23,2,-,1,2,-,-,-,-
S00104577,87,14,44,5,3,1,9,7,3,1,-,2,1,-,1
S00104578,76,7,33,11,4,2,10,3,4,-,2,-,1,-,1
S00104579,85,10,46,6,1,3,15,2,1,1,-,-,-,-,1
S00104580,109,18,64,4,4,6,3,3,2,4,1,1,1,1,1
S00104581,112,10,63,9,-,3,7,9,5,3,3,-,-,-,-
S00104582,71,4,43,6,5,2,8,1,-,2,-,-,-,-,4
S00104583,134,18,74,10,9,6,1,10,3,3,-,1,-,-,3
S00104584,65,8,33,2,2,7,4,5,1,1,2,-,-,-,1
S00104585,121,12,74,7,5,6,11,4,-,-,2,-,-,-,2
S00104586,91,7,48,3,5,12,-,10,1,5,-,1,-,1,1
S00104587,79,11,34,9,3,4,11,6,1,-,-,-,-,-,1
S00104588,53,6,21,2,2,9,2,2,6,2,1,1,1,-,1
S00104589,80,22,30,8,2,2,14,1,1,-,-,-,1,-,2
S00104590,80,16,25,12,2,1,11,7,2,2,2,1,1,-,-
S00104591,67,9,32,4,4,1,8,3,5,1,-,2,2,1,1
S00104592,120,12,58,13,4,8,17,-,3,3,2,1,-,-,1
S00104593,75,8,42,5,-,4,8,5,3,-,-,-,-,-,-
S00104594,73,8,39,5,1,3,7,5,2,1,2,-,-,-,-
S00104595,75,6,49,2,2,3,6,5,1,1,-,1,-,-,1
S00104596,83,11,43,4,8,6,5,2,-,4,-,4,-,-,3
S00104597,84,6,49,4,4,4,5,5,5,2,-,2,1,-,1
S00104598,50,6,19,-,-,4,5,7,3,6,-,-,-,-,-
S00104599,90,7,33,1,8,4,13,6,5,8,5,3,3,-,3
S00104600,82,9,20,6,13,5,7,3,8,11,-,1,1,2,4
S00104601,117,12,45,3,8,6,8,11,7,15,2,2,1,2,3
S00104602,46,6,15,3,2,2,8,4,2,1,3,-,1,-,1
S00104603,52,6,28,4,2,2,7,1,-,2,-,1,-,-,1
S00104604,59,6,35,3,5,2,3,1,3,1,-,1,-,1,2
S00104605,70,10,32,3,1,2,13,4,3,-,2,-,-,-,-
S00104606,80,8,38,9,4,1,15,2,2,1,-,-,-,-,-
S00104607,83,4,36,4,6,4,13,5,1,8,2,1,1,-,2
S00104608,83,14,28,4,2,4,20,3,3,3,2,2,-,1,-
S00104609,83,14,25,12,1,-,22,5,1,2,1,-,-,-,1
S00104610,85,14,41,5,1,5,16,1,1,-,1,1,-,-,-
S00104611,104,14,38,8,1,6,31,1,3,1,1,1,-,-,-
S00104612,52,9,19,3,1,2,14,2,-,2,-,-,1,-,-
S00104613,86,13,44,7,1,4,13,2,2,-,-,1,-,-,-
S00104614,108,17,39,8,2,7,22,5,4,-,4,2,-,2,-
S00104615,119,19,44,11,1,3,21,9,7,3,1,-,1,-,1
S00104616,77,15,21,9,2,6,17,-,4,2,1,-,1,-,2
S00104617,81,12,33,5,3,2,15,4,3,3,1,2,-,1,-
S00104618,62,9,30,5,1,4,6,1,5,1,-,-,-,1,-
S00104619,101,18,35,8,2,11,20,4,1,2,-,2,-,1,1
S00104620,89,11,33,5,1,4,25,4,5,1,-,-,1,-,-
S00104621,55,5,15,1,6,-,2,9,5,9,3,2,-,-,4
S00104622,57,11,14,1,5,4,4,-,7,6,5,1,-,-,1
S00104623,112,18,41,14,2,5,19,6,3,1,3,-,1,-,1
S00104624,76,11,41,1,4,1,11,3,1,1,2,3,-,2,-
S00104625,62,11,16,5,3,2,6,3,8,4,4,-,1,-,1
S00104626,41,1,8,7,3,-,18,-,-,3,1,1,-,1,1
S00104627,69,10,28,5,3,4,13,3,2,-,1,1,1,-,-
S00104628,67,5,29,4,3,8,10,1,2,3,2,-,-,-,2
S00104629,44,9,25,1,-,1,6,2,-,-,-,-,-,-,-
S00104630,71,9,32,2,3,2,7,5,4,1,6,-,-,-,1
S00104631,64,14,25,7,-,-,9,4,2,2,1,-,-,-,-
S00104632,88,9,33,6,3,4,22,7,2,2,-,2,-,-,-
S00104633,91,18,40,8,5,4,13,2,1,-,-,1,2,-,3
S00104634,87,9,37,6,7,3,12,6,3,3,1,1,-,1,4
S00104635,96,13,44,3,1,3,20,4,4,4,-,-,-,-,1
S00104636,84,20,36,3,6,3,7,3,3,3,-,4,1,-,2
S00104637,48,1,19,2,2,-,12,3,4,2,3,-,-,-,2
S00104638,87,14,31,12,5,2,10,3,5,5,-,2,1,-,2
S00104639,98,15,49,5,1,5,15,3,1,2,2,1,-,1,-
S00104640,49,5,16,3,5,1,11,4,4,-,-,1,1,1,2
S00104641,87,10,41,4,2,4,17,3,2,4,-,-,-,-,-
S00104642,52,6,10,4,6,2,5,5,7,5,2,1,-,2,1
S00104643,56,6,11,4,8,1,7,5,2,8,4,-,2,-,5
S00104644,58,8,14,4,8,1,6,5,4,7,1,1,2,-,5
S00104645,57,14,18,-,8,1,4,4,2,6,-,3,2,1,2
S00104646,96,5,31,6,4,13,5,21,-,6,5,1,-,-,1
S00104647,53,4,19,-,3,4,3,7,5,7,1,-,1,-,2
S00104648,50,4,16,2,1,8,5,7,2,4,1,-,-,-,-
S00104649,63,7,25,3,2,11,6,7,-,2,-,1,1,-,1
S00104650,51,4,22,1,2,4,-,13,-,3,2,-,-,-,-
S00104651,71,5,22,5,4,8,7,9,3,4,4,2,-,-,2
S00104652,37,-,6,3,-,-,25,-,2,-,1,-,-,-,-
S00104653,81,9,40,8,3,4,3,11,1,2,-,1,1,-,1
S00104654,66,10,29,1,2,6,1,12,2,1,2,-,1,-,1
S00104655,84,7,45,6,3,5,5,8,1,4,-,1,1,1,2
S00104656,82,8,37,2,4,3,4,13,2,4,5,-,1,-,1
S00104657,94,10,46,14,10,3,4,3,3,1,-,3,3,-,4
S00104658,126,8,59,15,9,8,6,7,6,4,4,5,-,2,3
S00104659,111,3,59,14,3,5,-,20,5,1,1,-,1,-,3
S00104660,96,7,57,11,2,2,3,13,-,1,-,-,-,-,-
S00104661,137,7,67,10,3,6,11,15,6,5,7,-,1,-,-
S00104662,118,13,60,17,6,1,5,7,-,5,4,-,3,-,6
S00104663,97,10,49,16,1,8,3,7,3,-,-,1,-,-,-
S00104664,133,7,17,2,2,23,6,74,-,1,1,2,-,1,-
S00104665,134,7,40,11,5,17,3,47,1,3,-,2,-,-,2
S00104666,144,6,18,3,3,27,-,86,1,-,-,1,-,1,1
S00104667,97,5,9,2,2,26,3,45,1,1,3,2,-,-,1
S00104668,175,7,49,6,5,31,8,67,1,-,1,3,1,1,-
S00104669,187,6,38,-,4,31,5,96,2,1,4,-,1,-,-
S00104670,102,4,33,4,8,9,2,33,1,6,2,3,-,1,1
S00104671,125,5,23,5,5,32,3,49,-,1,2,4,1,-,1
S00104672,183,3,29,5,2,38,5,97,4,-,-,1,-,-,-
S00104673,109,3,19,5,-,22,3,56,-,1,-,-,-,-,-
S00104674,78,4,13,3,1,12,2,42,-,-,1,-,1,-,1
S00104675,157,7,37,8,4,22,6,69,2,1,1,1,-,1,2
S00104676,130,9,30,6,7,16,3,54,-,3,2,1,-,1,2
S00104677,122,9,29,7,5,17,1,49,-,1,4,-,1,-,1
S00104678,78,9,23,5,-,7,1,32,-,-,1,-,-,-,-
S00104679,111,2,37,5,3,18,2,43,-,-,1,-,-,-,2
S00104680,119,7,32,3,1,14,-,55,-,5,2,1,-,-,-
S00104681,108,7,21,7,4,14,1,48,1,4,1,1,-,1,2
S00104682,144,4,22,2,4,18,4,84,-,1,5,-,-,1,2
S00104683,127,7,16,1,2,21,4,74,-,2,-,-,-,1,1
S00104684,80,9,14,-,5,18,-,27,-,7,-,1,-,-,3
S00104685,114,4,31,12,6,15,3,34,-,8,1,-,1,-,4
S00104686,80,6,25,6,2,7,4,22,2,4,2,-,-,-,-
S00104687,89,6,31,6,1,11,2,32,-,-,-,-,-,-,-
S00104688,106,9,22,7,2,17,7,36,-,5,1,-,-,-,1
S00104689,74,3,16,1,-,5,13,34,1,1,-,-,-,-,-
S00104690,86,5,27,-,3,14,6,25,2,2,2,-,-,1,1
S00104691,90,4,25,4,2,12,2,33,2,5,1,1,-,1,-
S00104692,68,5,18,6,6,7,3,19,2,2,-,2,-,1,5
S00104693,98,12,26,5,10,14,6,10,2,12,1,4,1,2,4
S00104694,92,11,26,3,9,8,7,11,2,13,2,2,1,1,3
S00104695,93,6,21,4,10,5,8,23,7,8,1,5,-,2,3
S00104696,92,9,24,1,11,4,5,12,10,11,5,3,5,4,4
S00104697,96,12,22,5,8,7,8,28,5,1,-,2,2,-,4
S00104698,88,6,19,3,10,8,5,27,4,3,3,1,1,-,5
S00104699,71,18,14,-,4,1,10,6,3,15,-,1,-,-,1
S00104700,370,7,15,-,1,28,13,284,-,18,4,-,-,1,-
S00104701,85,3,28,5,5,11,6,19,1,7,-,1,2,-,4
S00104702,79,5,31,1,9,6,6,4,-,14,3,-,4,1,4
S00104703,121,2,9,2,1,11,9,84,1,1,1,1,-,-,-
S00104704,57,-,16,1,-,9,1,28,-,-,2,-,-,-,-
S00104705,72,5,35,2,1,9,1,12,1,2,4,-,-,-,-
S00104706,79,4,24,1,2,9,2,33,1,3,-,-,-,-,-
S00104707,142,9,25,9,5,16,4,64,-,8,2,3,-,-,1
S00104708,99,7,16,5,11,1,2,36,7,12,2,1,2,1,7
S00104709,85,3,14,7,5,6,1,42,4,3,-,1,2,-,4
S00104710,197,7,29,6,1,39,-,113,-,2,-,-,-,-,-
S00104711,155,5,26,8,-,31,4,79,1,1,-,-,-,-,-
S00104712,153,4,23,11,-,23,15,74,3,-,-,-,-,-,-
S00104713,197,16,61,12,9,14,7,71,4,-,3,4,2,-,3
S00104714,144,12,21,4,-,32,6,63,5,-,1,-,-,-,-
S00104715,115,14,49,9,-,9,13,21,-,-,-,-,-,-,-
S00104716,144,10,38,10,3,21,6,49,5,-,2,-,-,-,-
S00104717,141,4,29,14,6,33,2,48,2,3,-,1,1,-,2
S00104718,98,7,19,4,2,18,1,46,-,-,1,-,-,-,-
S00104719,142,8,33,10,3,30,4,51,2,-,1,1,-,-,1
S00104720,192,13,32,16,6,27,15,81,2,-,-,2,-,-,2
S00104721,126,3,24,2,1,17,1,74,2,-,2,-,-,-,-
S00104722,121,5,42,12,4,13,5,37,-,2,1,1,1,-,-
S00104723,105,3,32,10,5,20,2,32,1,-,-,-,-,1,1
S00104724,139,9,34,5,3,19,2,59,4,2,2,2,-,-,1
S00104725,156,10,20,7,1,23,5,86,2,-,2,1,-,-,-
S00104726,199,4,20,5,5,55,1,107,1,-,1,2,1,-,2
S00104727,164,12,40,10,-,22,7,64,4,1,4,-,-,-,-
S00104728,124,8,45,8,2,11,5,38,3,1,3,-,1,-,1
S00104729,196,12,42,6,2,40,7,81,4,1,1,1,1,-,-
S00104730,154,17,46,12,2,27,4,43,1,1,1,1,-,1,-
S00104731,76,5,23,8,1,11,4,22,1,-,1,-,1,-,-
S00104732,109,8,28,6,4,16,7,36,-,2,2,2,1,-,1
S00104733,126,4,38,4,1,18,6,52,2,-,1,1,-,-,-
S00104734,88,3,12,3,-,19,4,47,-,-,-,-,-,-,-
S00104735,132,3,16,10,1,27,-,72,2,-,1,-,-,-,1
S00104736,175,8,27,7,2,20,7,101,2,1,-,1,-,1,-
S00104737,110,8,20,9,2,23,9,37,1,-,1,-,1,-,1
S00104738,176,8,38,10,2,34,5,76,2,-,1,-,-,-,-
S00104739,91,8,41,10,2,4,14,8,2,1,1,-,-,-,1
S00104740,101,17,34,14,3,2,8,8,4,9,2,1,1,1,2
S00104741,35,8,11,4,1,-,7,2,-,1,1,-,1,-,1
S00104742,101,6,24,11,1,10,16,18,5,6,4,-,1,-,-
