,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00103387,63,2,43,2,3,2,3,6,1,-,1,-,-,-,-
S00103388,72,8,40,9,1,7,2,4,1,-,-,-,-,-,-
S00103389,100,8,55,16,6,6,5,1,1,2,-,2,-,-,2
S00103390,108,11,40,20,1,1,16,10,3,4,2,-,-,-,-
S00103391,57,9,23,8,1,2,5,5,3,1,-,-,-,-,1
S00103392,101,6,51,16,5,2,8,6,6,1,-,2,1,1,-
S00103393,76,5,36,12,2,-,11,4,2,2,2,1,1,-,1
S00103394,72,11,32,5,1,1,16,4,1,1,-,-,-,-,-
S00103395,45,5,16,3,-,4,9,5,3,-,-,-,-,-,-
S00103396,56,4,31,5,1,1,10,-,1,1,2,-,-,-,1
S00103397,65,11,23,7,3,-,13,3,2,1,2,-,-,-,1
S00103398,57,11,23,8,2,1,4,6,2,-,-,-,-,-,1
S00103399,62,10,25,8,-,3,11,1,2,2,-,-,-,-,-
S00103400,78,7,46,7,-,2,6,8,1,1,-,-,-,-,-
S00103401,43,2,10,11,3,1,12,2,2,-,-,2,-,2,-
S00103402,27,1,2,1,-,-,21,-,1,1,-,-,-,-,-
S00103403,69,5,39,9,3,3,3,3,2,-,2,-,1,-,-
S00103404,81,7,47,2,4,4,4,6,1,4,2,-,1,-,-
S00103405,110,14,63,8,2,10,5,5,2,1,-,1,-,1,-
S00103406,74,7,21,6,3,1,25,4,3,1,3,1,2,-,-
S00103407,63,6,40,2,3,1,5,4,2,-,-,-,1,-,1
S00103408,84,3,28,16,2,4,6,16,6,1,2,-,-,-,1
S00103409,82,10,30,12,4,3,14,5,1,-,3,-,2,-,3
S00103410,74,10,26,16,-,4,14,1,-,1,2,-,-,-,-
S00103411,65,2,29,13,-,3,5,9,2,-,2,-,-,-,-
S00103412,59,2,27,14,-,1,5,6,3,-,1,-,-,-,-
S00103413,81,10,36,5,8,4,6,2,2,7,1,-,3,-,4
S00103414,74,4,23,14,-,5,19,6,2,-,1,-,-,-,-
S00103415,102,3,45,11,4,6,16,9,6,1,1,-,3,-,2
S00103416,99,7,40,17,3,5,16,8,-,-,3,1,-,-,1
S00103417,59,5,22,6,-,4,8,12,1,-,1,-,-,-,-
S00103418,85,1,36,6,3,3,10,5,-,18,3,-,3,-,2
S00103419,75,5,37,8,-,2,14,1,1,6,1,-,-,-,-
S00103420,95,8,23,10,-,10,3,37,1,1,2,-,-,-,-
S00103421,76,2,22,14,-,2,14,19,1,-,2,-,-,-,-
S00103422,149,4,58,25,6,5,9,30,6,-,6,-,3,-,2
S00103423,103,5,40,13,1,3,7,28,3,1,2,-,-,-,-
S00103424,106,10,41,19,4,1,16,9,3,1,2,-,-,-,1
S00103425,66,3,41,4,-,2,2,11,1,2,-,-,-,-,-
S00103426,72,1,28,12,3,4,11,7,2,2,2,-,1,-,1
