OA_CODE,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00104134,102,7,2,-,5,1,5,-,4,10,39,11,8,7,3,-,-,36.9,36
S00104135,62,2,4,4,3,-,2,3,4,-,14,15,1,7,2,1,-,38,42
S00104136,96,3,3,1,2,1,2,2,11,10,28,23,2,5,2,-,1,37.3,36
S00104137,78,2,-,-,2,2,2,2,6,8,25,14,8,3,4,-,-,40.9,40
S00104138,68,3,2,-,-,-,-,1,6,13,31,6,5,-,-,-,1,34.9,34
S00104139,88,16,3,1,2,1,-,1,9,13,20,9,5,7,1,-,-,31.4,29
S00104140,76,1,-,-,1,-,-,1,7,17,31,7,6,5,-,-,-,37.2,33
S00104141,149,9,6,2,2,1,-,4,21,22,41,25,4,8,2,-,2,34.7,33
S00104142,60,2,3,-,-,-,1,2,2,7,31,7,1,2,2,-,-,35.2,36
S00104143,144,3,5,2,16,4,4,7,11,15,30,33,5,3,6,-,-,34.1,33
S00104144,161,18,4,2,3,1,3,2,13,12,29,31,12,16,10,5,-,40.6,41
S00104145,121,6,7,2,8,2,-,3,7,7,17,32,8,12,7,3,-,42.1,47
S00104146,126,9,5,1,3,1,1,2,28,27,38,7,1,1,2,-,-,27.7,27
S00104147,56,3,-,-,1,-,-,1,6,5,12,16,3,4,3,1,1,43.9,45
S00104148,102,6,-,1,-,1,1,2,18,21,27,16,2,4,2,1,-,34.4,31
S00104149,72,2,-,-,1,1,1,2,2,8,13,18,4,12,6,2,-,48.2,49
S00104150,93,2,-,-,2,-,-,1,9,21,40,11,1,1,3,2,-,36,32
S00104151,147,2,1,2,8,5,1,4,26,27,40,16,9,3,3,-,-,32.5,29
S00104152,91,1,-,-,-,-,-,-,10,17,32,22,2,4,2,1,-,39.8,38
S00104153,158,10,7,1,7,2,1,7,5,4,36,37,17,15,5,2,2,41.9,44
S00104154,113,3,1,-,2,-,1,2,7,15,44,23,5,1,4,3,2,39.9,36
S00104155,126,13,3,1,1,-,-,7,5,20,56,14,2,2,1,1,-,31.7,31
S00104156,61,5,-,1,1,2,-,-,3,14,23,9,1,-,2,-,-,32.3,31
S00104157,83,2,-,1,1,2,1,-,21,19,17,16,-,1,2,-,-,32.3,28
S00104158,114,8,5,-,-,-,-,6,14,21,44,8,2,4,1,1,-,31.4,31
S00104159,78,4,-,-,2,-,-,2,11,18,18,12,2,5,2,1,1,36.3,31
S00104160,128,1,1,-,1,1,2,1,18,16,47,12,8,8,11,-,1,41.3,37
S00104161,102,10,-,2,3,1,1,4,10,14,26,17,6,6,2,-,-,34.8,35
S00104162,125,5,4,-,2,-,-,2,16,22,57,8,4,3,2,-,-,32.9,31
S00104163,92,5,1,1,3,-,-,3,7,30,27,9,-,5,1,-,-,31.8,29
S00104164,88,5,-,-,-,1,1,2,12,26,28,5,2,3,2,-,1,32.5,29
S00104165,75,1,-,-,2,-,1,-,5,12,31,12,5,3,2,-,1,39.8,36
S00104166,149,7,1,1,-,-,-,1,36,59,33,7,4,-,-,-,-,27.9,26
S00104167,153,6,7,3,11,3,6,2,12,30,52,11,3,7,-,-,-,29.9,29
S00104168,79,5,3,1,1,-,1,-,14,14,27,6,2,1,2,2,-,32.8,30
S00104169,112,5,4,3,-,-,1,1,11,33,42,10,-,-,2,-,-,30.4,29
S00104170,88,3,2,-,1,-,2,3,8,21,33,11,-,3,-,-,1,32.6,30
S00104171,107,1,1,-,1,-,2,1,3,2,9,8,10,23,29,10,7,65.4,73
S00104172,61,1,-,1,-,-,-,1,8,9,30,11,-,-,-,-,-,33.2,32
S00104173,104,6,5,-,10,6,4,6,3,8,28,19,2,4,3,-,-,31.9,31
S00104174,89,1,-,-,-,-,1,-,8,20,45,12,2,-,-,-,-,34.6,33
S00104175,54,-,-,-,-,-,1,-,1,2,-,2,5,12,21,5,5,71.8,76
S00104176,114,9,2,2,-,-,-,-,14,24,44,13,3,2,1,-,-,31.9,30
S00104177,125,13,-,3,3,-,-,1,19,40,38,7,1,-,-,-,-,26.5,27
S00104178,112,16,-,-,4,-,1,1,10,28,29,13,4,5,1,-,-,30.5,29
S00104179,126,15,-,1,1,-,-,3,8,18,45,26,3,3,1,1,1,34.4,34
S00104180,114,8,4,-,6,-,3,-,4,15,45,13,2,9,5,-,-,36.6,36
S00104181,98,4,4,-,10,1,2,-,8,2,17,33,4,5,4,2,2,41.5,45
S00104182,138,9,1,3,5,1,2,4,5,19,18,30,9,18,11,2,1,43.4,45
S00104183,106,6,2,1,14,-,2,3,3,7,25,19,7,10,7,-,-,38.7,37
S00104184,108,2,1,1,4,-,3,2,3,12,22,14,4,16,19,5,-,49.3,47
S00104185,135,10,3,-,4,-,1,3,12,20,48,25,4,5,-,-,-,33.9,32
S00104186,97,5,3,-,5,1,-,2,10,9,29,11,2,8,10,2,-,40,36
S00104187,68,9,2,3,2,-,-,3,2,10,25,8,-,3,1,-,-,31.2,33
S00104188,71,3,-,-,-,-,3,1,10,10,26,13,2,1,1,-,1,35.4,33
S00104189,115,-,-,1,3,-,1,4,9,26,33,27,3,6,2,-,-,37.5,33
S00104190,116,5,1,-,1,-,-,1,11,21,58,13,-,3,2,-,-,33.7,32
S00104191,79,1,-,-,-,-,-,-,3,16,37,18,-,3,1,-,-,38.4,35
S00104192,93,3,-,-,2,-,-,7,9,13,28,24,3,4,-,-,-,37,38
S00104193,98,4,-,-,-,-,1,5,8,10,43,16,4,5,2,-,-,37.2,35
S00104194,75,-,-,-,-,-,1,-,11,12,37,8,1,2,1,-,2,37.4,33
S00104195,113,10,1,-,3,-,1,4,17,17,46,12,2,-,-,-,-,29.3,30
S00104196,82,11,1,1,3,-,2,1,3,11,11,16,4,10,6,2,-,39.6,41
S00104197,111,5,2,1,2,-,1,2,12,16,45,16,2,4,1,1,1,35.5,35
S00104198,60,1,-,-,1,-,-,-,10,7,13,12,3,9,4,-,-,44.4,40
S00104199,98,4,-,1,2,-,-,-,11,24,30,15,5,3,3,-,-,35.7,33
S00104200,98,4,-,1,2,1,-,1,1,4,20,23,13,20,6,2,-,50.8,57
S00104201,96,3,-,-,-,-,-,1,5,5,10,32,11,23,3,2,1,53.2,58
S00104202,82,3,1,-,3,1,-,6,6,8,26,22,2,4,-,-,-,36.6,38
S00104203,131,9,1,-,-,-,-,2,4,14,43,9,4,9,19,10,7,49.6,43
S00104204,109,4,-,1,5,-,2,4,8,7,23,19,12,13,10,1,-,44.7,46
S00104205,101,-,-,-,1,-,2,1,5,3,19,41,13,12,4,-,-,50,52
S00104206,129,12,2,2,4,-,-,1,3,10,57,16,3,5,10,4,-,38.5,35
S00104207,116,7,1,2,3,-,1,-,10,21,30,28,5,5,2,-,1,37.2,34
S00104208,78,1,3,1,-,-,-,-,3,4,25,16,7,6,7,4,1,48.8,48
S00104209,66,1,-,-,-,-,-,-,9,19,26,7,-,-,4,-,-,35.3,32
S00104210,64,2,1,-,-,-,-,1,8,24,20,8,-,-,-,-,-,30.2,28
S00104211,161,31,5,3,3,-,-,5,13,15,54,29,1,1,1,-,-,28.1,31
S00104212,127,7,1,1,1,1,1,1,21,36,46,6,1,3,1,-,-,29.5,29
S00104213,121,8,1,1,-,1,-,1,14,41,43,11,-,-,-,-,-,29.1,29
S00104214,118,7,-,8,2,2,2,1,6,22,40,20,2,3,3,-,-,33.3,32
S00104215,116,5,1,1,1,1,-,2,14,37,39,13,1,-,-,1,-,31.5,29
S00104216,118,1,2,3,2,-,1,2,10,26,41,19,5,5,1,-,-,36.6,35
S00104217,61,7,1,-,-,-,-,2,2,15,21,11,1,1,-,-,-,31.2,30
S00104218,157,6,3,3,7,1,4,-,5,14,32,13,5,21,22,19,2,50.3,47
S00104219,77,7,3,-,2,-,3,-,10,6,21,16,4,4,1,-,-,35,35
S00104220,113,4,5,2,11,2,5,1,3,4,32,25,7,7,2,3,-,37.7,37
S00104221,135,8,6,6,5,2,2,1,8,10,43,24,9,6,3,1,1,37,40
S00104222,82,4,-,-,4,-,1,-,9,5,18,22,3,10,5,-,1,44.1,45
S00104223,116,6,2,3,2,-,6,1,3,7,26,27,6,14,12,-,1,44.9,46
S00104224,113,6,3,1,3,-,7,1,9,4,28,32,5,5,9,-,-,40.5,42
S00104225,96,5,4,3,6,1,1,1,7,2,16,26,6,9,6,2,1,42.2,45
S00104226,124,6,3,5,6,-,5,3,9,2,19,27,14,18,5,2,-,43.2,47
S00104227,116,6,3,2,9,2,4,4,4,4,23,28,5,11,7,3,1,42.1,44
S00104228,122,12,2,4,9,2,3,2,5,6,33,23,8,3,7,3,-,36.6,37
S00104229,117,12,5,3,3,-,1,1,5,4,26,29,7,12,8,1,-,41.1,42
S00104230,103,5,2,-,4,-,2,4,9,7,22,25,5,10,7,1,-,42.3,44
S00104231,121,5,3,2,4,3,1,1,4,5,25,21,2,5,19,13,8,51.9,48
S00104232,172,9,4,6,7,4,2,6,11,15,27,42,14,10,11,4,-,40.8,43
S00104233,174,7,5,4,16,-,1,1,8,12,25,41,19,21,12,2,-,44,49
S00104234,120,19,1,-,1,-,2,5,12,20,38,12,5,2,3,-,-,30.2,30
S00104235,96,6,-,4,8,2,1,2,7,6,14,21,6,13,6,-,-,40.9,43
S00104236,89,6,1,-,-,-,2,4,11,12,27,16,5,2,3,-,-,35.6,33
S00104237,67,1,-,2,3,-,-,-,7,18,25,10,-,1,-,-,-,32.1,31
S00104238,97,3,-,-,-,-,2,-,12,20,40,14,2,2,2,-,-,35,32
S00104239,81,-,1,-,-,-,-,2,5,15,39,10,2,5,1,1,-,39.4,37
S00104240,65,3,1,2,-,-,-,1,6,20,17,12,-,2,1,-,-,33.8,29
S00104241,80,3,-,1,4,2,1,3,15,13,27,4,3,4,-,-,-,31.1,29
S00104242,122,4,2,-,2,-,-,3,14,31,39,18,-,5,1,3,-,34.2,30
S00104243,101,8,1,-,-,1,-,5,15,18,36,6,2,6,2,1,-,33.2,30
S00104244,58,4,1,-,4,-,-,-,3,10,11,10,3,6,4,2,-,41.8,38
S00104245,92,2,-,-,1,-,1,-,10,25,34,10,3,2,4,-,-,35.9,32
S00104246,102,6,2,2,-,1,1,-,4,18,34,15,3,8,8,-,-,39.7,33
S00104247,57,-,-,-,-,-,-,2,4,12,23,7,4,4,1,-,-,38.8,32
S00104248,107,7,-,-,2,-,1,5,5,14,46,21,5,-,1,-,-,34.7,33
S00104249,73,2,-,-,5,1,1,1,11,6,21,10,4,5,4,-,2,40,37
S00104250,86,1,-,1,1,-,1,4,23,7,36,9,1,-,2,-,-,32.7,31
S00104251,57,-,-,1,-,-,-,-,3,13,27,9,2,-,2,-,-,37.1,34
S00104252,58,-,1,1,-,-,-,-,5,12,18,13,2,4,1,1,-,40.1,34
S00104253,80,5,-,-,2,-,1,1,13,13,18,14,5,8,-,-,-,37.1,36
S00104254,62,1,-,-,-,-,-,2,6,15,20,12,2,1,2,1,-,37.2,32
S00104255,118,6,2,-,1,1,-,1,15,15,24,26,7,12,5,2,1,42.1,42
S00104256,88,5,2,-,-,-,-,8,5,20,34,8,1,-,5,-,-,33.3,31
S00104257,92,2,2,-,1,-,-,1,13,19,21,20,4,2,6,-,1,38.7,34
S00104258,100,2,1,1,1,-,-,-,10,16,22,17,5,10,12,3,-,45.4,42
S00104259,66,-,-,-,-,-,1,1,1,1,23,16,4,11,6,1,1,52,53
S00104260,114,3,1,-,1,-,1,2,13,11,49,15,8,7,3,-,-,39.1,37
S00104261,71,5,2,3,2,-,-,-,6,13,22,7,2,8,1,-,-,35,31
S00104262,116,11,-,1,3,-,-,4,10,14,49,18,2,1,2,1,-,33.3,32
S00104263,79,5,-,-,3,-,-,-,4,18,34,10,-,3,-,1,1,34.4,31
S00104264,100,2,-,1,1,-,-,3,5,19,42,19,2,4,1,-,1,37.3,36
S00104265,131,3,3,-,2,-,1,-,14,26,53,13,4,5,5,2,-,36.9,32
S00104266,61,-,-,-,1,-,-,2,11,6,23,10,1,5,1,1,-,39.2,35
S00104267,151,13,9,3,6,2,4,6,11,12,46,23,5,7,2,-,2,32.7,33
S00104268,114,10,4,3,4,2,-,4,13,13,29,19,2,7,3,-,1,34,32
S00104269,59,-,-,-,-,-,1,-,1,1,-,1,3,19,13,14,6,75.5,80
S00104270,139,7,-,6,3,-,3,6,28,26,26,20,4,4,6,-,-,33,27
S00104271,84,3,-,1,4,-,2,1,6,18,30,12,4,3,-,-,-,34.1,31
S00104272,146,14,6,3,8,-,-,-,6,13,38,22,9,9,10,5,3,40.1,36
S00104273,90,5,1,-,4,-,2,1,9,5,23,14,4,9,11,1,1,43.9,43
S00104274,84,2,-,-,1,1,-,-,12,16,22,16,2,7,5,-,-,40.1,35
S00104275,65,-,-,-,1,-,-,3,4,17,25,9,-,3,3,-,-,37,32
S00104276,54,4,-,-,-,1,-,2,2,6,24,9,3,-,1,2,-,38.4,40
S00104277,128,10,1,1,1,-,1,1,13,15,52,18,6,6,3,-,-,36,34
S00104278,106,1,-,-,-,-,-,1,9,18,46,18,1,5,7,-,-,39.8,36
S00104279,131,8,2,4,5,1,2,5,28,17,44,7,6,2,-,-,-,28.5,27
S00104280,128,2,3,1,2,-,-,4,18,21,47,22,2,3,3,-,-,34.2,32
S00104281,148,7,5,2,8,-,1,1,20,24,40,23,2,10,5,-,-,34.4,31
S00104282,131,5,3,2,5,1,3,2,12,34,44,12,1,5,1,1,-,31.6,29
S00104283,132,5,2,1,6,2,3,3,10,6,17,22,5,13,23,9,5,50.8,52
S00104284,80,4,1,-,3,1,3,1,2,3,13,23,7,10,7,1,1,47.4,50
S00104285,67,-,-,-,-,-,-,-,-,-,2,3,3,12,26,10,11,78.5,80
S00104286,138,9,2,2,7,-,2,4,7,17,24,28,5,13,15,3,-,42.2,40
S00104287,100,6,2,1,3,3,2,-,2,16,22,24,11,7,1,-,-,38.9,39
S00104288,105,2,4,-,8,1,2,1,3,21,40,19,3,1,-,-,-,33.8,35
S00104289,65,2,1,1,2,-,-,-,1,10,28,15,1,-,4,-,-,38.7,38
S00104290,80,4,3,3,1,2,1,2,3,10,18,20,2,5,4,2,-,39.3,40
S00104291,79,8,2,1,3,1,-,2,1,4,34,13,3,1,3,2,1,37.7,38
S00104292,77,6,2,1,2,1,1,1,1,6,25,18,5,2,5,1,-,39.3,38
S00104293,108,9,5,2,7,3,4,-,1,10,38,24,3,2,-,-,-,32.6,36
S00104294,177,23,3,2,3,1,2,5,13,7,39,44,9,16,8,1,1,39,41
S00104295,109,7,2,-,5,1,2,-,9,15,43,16,4,5,-,-,-,34,33
S00104296,102,16,2,6,4,2,2,1,5,5,28,17,7,3,1,3,-,32.6,34
S00104297,125,13,6,6,15,3,1,3,1,3,35,22,5,10,2,-,-,32.9,36
S00104298,113,9,1,2,2,-,3,1,3,11,16,27,10,22,6,-,-,45,48
S00104299,65,5,-,1,2,-,1,-,8,6,21,14,3,2,1,1,-,35.9,34
S00104300,116,10,4,6,5,1,2,2,6,7,31,30,3,5,3,-,1,35.1,37
S00104301,123,8,2,2,3,2,2,4,5,12,46,20,2,3,7,2,3,38.5,38
S00104302,85,10,-,2,3,5,-,1,3,3,21,22,3,9,2,-,1,39,41
S00104303,131,18,3,5,5,-,2,1,10,3,44,33,2,-,3,2,-,33.2,35
S00104304,106,6,2,2,5,-,-,-,7,8,23,26,10,10,7,-,-,42.7,45
S00104305,107,6,3,1,3,3,-,3,2,5,37,27,4,7,4,2,-,40.9,41
S00104306,120,12,6,4,4,1,1,-,1,3,37,26,2,18,5,-,-,39.9,41
S00104307,86,5,3,2,4,1,1,2,6,3,16,14,3,7,17,2,-,45.2,45
S00104308,100,6,-,2,5,-,1,2,1,9,39,21,1,8,5,-,-,39.3,39
S00104309,103,2,-,-,3,4,1,3,3,7,18,26,12,11,12,1,-,48.4,48
S00104310,123,6,6,2,4,1,1,3,4,4,49,26,2,9,4,2,-,38.4,37
S00104311,114,4,-,1,1,-,2,1,22,19,39,13,3,4,3,2,-,35,30
S00104312,80,-,1,-,1,-,2,5,35,15,14,5,-,2,-,-,-,27.2,24
S00104313,75,3,2,-,-,-,1,5,16,18,16,9,2,2,1,-,-,31.4,28
S00104314,130,7,4,-,1,1,3,11,44,23,22,10,-,4,-,-,-,26.5,24
S00104315,88,3,-,-,5,-,3,1,8,7,18,29,5,6,2,1,-,41.4,44
S00104316,125,4,5,1,3,-,7,3,8,12,35,32,7,4,3,1,-,38.1,40
S00104317,110,4,-,1,2,-,-,6,5,11,41,24,7,5,4,-,-,40,39
S00104318,89,1,-,-,4,1,1,1,2,19,36,19,2,1,1,1,-,36.6,35
S00104319,58,4,1,-,1,-,-,1,5,11,21,8,3,2,-,1,-,35.6,34
S00104320,66,-,-,-,3,-,1,1,4,12,17,23,1,2,1,-,1,39.9,37
S00104321,109,7,1,-,1,1,2,1,13,17,39,17,1,3,5,-,1,35.9,33
S00104322,79,3,2,2,3,1,1,-,9,13,35,6,-,3,1,-,-,32.1,32
S00104323,97,2,1,-,-,-,-,8,34,21,19,9,-,3,-,-,-,29,26
S00104324,121,3,2,2,1,-,2,2,40,16,34,10,1,7,1,-,-,30.8,27
S00104325,135,8,3,-,2,1,2,1,5,5,46,31,7,11,7,3,3,43.5,42
S00104326,170,12,4,2,9,1,3,4,14,9,39,34,15,11,8,4,1,40.2,41
S00104327,74,3,-,-,-,-,-,-,3,16,31,11,3,4,3,-,-,38.2,34
S00104328,71,3,1,-,1,-,1,2,5,9,28,13,6,1,1,-,-,37.5,38
S00104329,87,2,-,1,1,-,3,4,6,8,33,17,2,-,7,1,2,40.3,35
S00104330,86,12,1,2,2,-,-,-,12,18,21,11,4,2,-,1,-,30.5,28
S00104331,102,8,2,2,2,-,1,1,21,13,21,14,7,4,5,1,-,35,30
S00104332,141,10,3,1,4,1,1,1,11,13,43,28,4,10,10,-,1,39.1,38
S00104333,125,10,2,1,1,-,1,6,12,15,49,17,5,1,4,1,-,33.8,33
S00104334,115,6,2,1,3,2,2,3,25,22,29,14,2,2,2,-,-,30.5,27
S00104335,103,6,2,-,12,2,-,1,5,1,28,16,9,10,9,2,-,42.4,42
S00104336,149,4,2,3,7,2,2,3,9,28,32,31,6,9,10,-,1,39.2,36
S00104337,169,10,4,5,12,1,5,3,5,7,40,32,14,17,10,4,-,41.6,42
S00104338,179,13,2,2,14,3,7,4,5,4,48,33,9,21,11,1,2,40.9,41
S00104339,132,4,2,3,3,-,-,6,18,13,26,27,10,16,4,-,-,40.2,39
S00104340,69,-,-,-,2,-,1,-,2,17,21,14,1,4,4,2,1,43.3,37
S00104341,62,-,-,-,-,-,-,-,3,8,23,22,2,3,1,-,-,42.3,40
S00104342,64,-,-,1,-,-,-,2,8,16,30,4,1,-,1,1,-,33.9,31
S00104343,100,6,-,2,1,-,2,1,18,13,32,16,2,4,3,-,-,35.4,32
S00104344,92,1,-,1,-,-,-,-,8,23,44,6,6,-,1,1,1,36.5,33
S00104345,70,-,1,-,-,-,2,2,6,11,22,16,6,1,3,-,-,39.7,37
S00104346,75,-,-,-,-,-,-,-,12,19,23,13,4,1,1,1,1,37.7,33
S00104347,129,3,1,1,2,-,1,2,6,16,43,19,13,11,9,2,-,43.8,40
S00104348,124,9,4,1,4,-,1,3,4,4,19,26,15,16,14,4,-,47.9,53
S00104349,106,4,2,2,5,2,2,2,6,9,14,35,7,9,4,2,1,43,48
S00104350,90,5,2,2,5,-,1,1,4,8,35,17,1,1,6,-,2,37.2,37
S00104351,84,6,1,3,-,1,1,-,6,6,21,16,7,10,5,1,-,42.2,41
S00104352,75,1,-,1,3,2,-,-,2,4,14,13,8,9,11,6,1,54.1,54
S00104353,96,3,2,-,2,1,-,1,10,25,25,14,5,6,2,-,-,35.9,31
S00104354,83,10,1,3,3,1,5,1,2,4,21,12,8,6,3,2,1,38.2,38
S00104355,155,13,2,-,2,1,1,1,10,34,62,20,3,5,-,1,-,33.1,32
S00104356,64,1,1,1,-,-,-,2,3,8,37,7,-,1,1,1,1,36.9,35
S00104357,132,13,2,1,2,-,1,-,6,19,45,27,3,9,4,-,-,37.2,36
S00104358,74,1,1,-,-,-,1,6,7,20,24,9,2,3,-,-,-,33.3,30
S00104359,149,9,3,-,3,-,2,3,17,25,58,21,3,3,1,1,-,33,31
S00104360,100,9,2,-,2,2,-,3,5,20,31,18,3,4,1,-,-,33.5,32
S00104361,83,7,2,1,-,-,1,3,6,11,31,14,3,3,-,1,-,34.1,32
S00104362,108,2,-,-,-,-,-,1,23,22,45,9,1,3,1,1,-,33.7,30
S00104363,63,2,-,1,-,-,-,1,5,8,31,8,1,1,3,-,2,38.8,37
S00104364,87,-,-,-,-,-,-,1,6,42,25,7,3,1,1,1,-,34.1,29
S00104365,170,17,5,1,6,1,2,3,9,22,59,39,4,2,-,-,-,33,33
S00104366,115,3,2,1,5,1,3,3,12,14,29,17,1,7,10,4,3,41.5,38
S00104367,73,-,-,-,-,1,-,-,6,9,26,12,5,9,2,2,1,45.4,39
S00104368,89,3,4,3,4,-,1,-,7,7,19,23,6,7,3,1,1,40.1,42
S00104369,116,7,1,-,-,-,1,-,12,37,37,12,3,3,2,-,1,33.2,30
S00104370,94,5,2,-,2,-,-,-,1,10,28,19,10,13,2,2,-,44.8,44
S00104371,65,1,-,-,3,-,-,4,6,12,17,13,3,3,2,1,-,38.7,33
S00104372,62,3,2,1,4,-,1,-,4,-,18,12,2,8,7,-,-,43.1,43
S00104373,85,4,2,1,3,1,-,-,7,9,28,16,1,9,4,-,-,38.6,36
S00104374,115,4,1,1,2,1,-,4,14,7,28,30,8,9,5,1,-,41.9,41
S00104375,106,6,3,1,7,1,-,5,17,6,32,14,7,2,2,3,-,34.4,33
S00104376,103,3,2,-,1,-,2,3,21,16,24,22,4,2,2,1,-,35.1,31
S00104377,108,2,1,1,-,-,-,1,31,22,32,11,1,1,2,2,1,32.5,29
S00104378,74,2,3,-,1,-,-,9,10,11,18,16,1,3,-,-,-,33.2,30
S00104379,111,2,2,-,1,-,-,5,19,22,36,17,-,-,3,3,1,34.6,30
S00104380,91,1,-,-,-,-,-,1,18,17,31,16,4,1,1,1,-,35.9,32
S00104381,104,2,3,2,2,-,-,-,11,16,42,13,3,7,3,-,-,37,34
S00104382,69,2,1,1,2,-,1,-,11,14,29,7,1,-,-,-,-,30.3,31
S00104383,107,4,6,-,5,-,-,-,10,15,44,16,3,2,1,1,-,33.8,34
S00104384,74,3,1,-,3,1,1,-,12,16,29,5,-,2,1,-,-,30.8,30
S00104385,67,2,3,1,1,-,-,-,6,11,21,13,5,4,-,-,-,37.4,37
S00104386,99,7,1,-,2,-,-,2,12,18,36,8,6,-,6,1,-,34.3,31
S00104387,115,2,1,-,-,-,-,8,27,25,29,17,-,1,4,1,-,33,29
S00104388,95,4,1,4,6,-,1,-,2,23,37,12,1,3,1,-,-,33.4,33
S00104389,91,4,1,1,1,1,-,-,8,27,35,10,-,1,-,2,-,32.5,30
S00104390,118,2,-,2,5,2,-,2,21,31,34,12,1,3,3,-,-,31.2,28
S00104391,93,7,1,1,1,-,-,-,7,15,40,7,4,5,4,1,-,36.3,34
S00104392,88,9,2,2,5,-,-,1,9,15,27,9,3,4,1,-,1,31.5,30
S00104393,107,4,3,5,6,-,-,2,12,6,39,22,6,-,2,-,-,34.7,36
S00104394,63,-,1,-,1,-,1,2,-,6,28,15,3,5,-,-,1,41.9,39
S00104395,78,5,-,1,1,-,-,-,10,16,26,14,1,3,1,-,-,34.8,32
S00104396,92,5,-,1,-,-,1,5,8,12,29,12,4,6,6,2,1,39.8,34
S00104397,104,1,1,4,6,3,1,-,12,10,22,24,5,13,1,1,-,40.1,40
S00104398,99,3,2,1,1,-,1,5,24,16,28,11,2,4,1,-,-,32.2,29
S00104399,82,-,2,2,-,-,-,2,7,13,24,22,3,3,3,-,1,39.8,39
S00104400,71,-,1,-,1,-,-,1,21,11,20,7,2,3,4,-,-,35.4,30
S00104401,83,5,2,1,3,-,1,-,12,15,26,15,2,1,-,-,-,32.4,31
S00104402,63,3,-,-,3,4,-,1,1,1,13,20,6,9,2,-,-,45,51
S00104403,118,5,-,1,10,2,-,5,11,9,43,19,6,6,-,1,-,35.4,33
S00104404,111,4,-,-,7,1,2,5,14,4,17,19,1,16,13,6,2,46.4,46
S00104405,78,4,-,-,1,1,-,1,20,17,20,12,1,1,-,-,-,30.5,28
S00104406,122,8,1,-,-,1,-,3,19,32,33,15,5,1,4,-,-,33.2,29
S00104407,65,1,-,-,-,-,-,-,4,23,22,5,2,5,3,-,-,37.7,31
S00104408,80,-,-,-,-,2,-,1,5,12,34,18,2,4,2,-,-,39.5,36
S00104409,81,1,-,1,1,-,-,1,7,27,31,9,-,1,1,1,-,34.1,30
S00104410,139,10,1,-,8,-,-,2,11,8,47,23,15,8,2,4,-,39.7,39
S00104411,115,1,4,1,4,2,-,-,5,5,35,26,3,15,13,1,-,46.6,45
S00104412,78,2,-,1,4,1,2,1,3,13,16,21,3,6,5,-,-,40.5,42
S00104413,103,4,3,-,2,1,-,2,7,21,47,10,2,1,1,1,1,34.4,33
S00104414,61,2,-,-,-,-,-,-,6,11,18,11,6,4,3,-,-,42.7,38
S00104415,52,4,1,2,-,-,-,-,7,7,14,10,2,4,1,-,-,35.8,31
S00104416,103,5,-,-,-,-,-,-,16,22,37,15,1,4,1,1,1,35,31
S00104417,74,5,-,1,-,-,1,3,6,12,21,15,3,5,2,-,-,37.6,35
S00104418,85,10,-,1,1,-,-,-,16,12,24,15,1,2,2,1,-,32.9,31
S00104419,126,-,-,-,1,2,-,2,16,29,59,11,-,2,4,-,-,33.9,31
S00104420,75,-,-,-,1,-,-,1,8,21,29,12,-,1,2,-,-,35.3,34
S00104421,93,4,-,1,1,-,1,-,13,16,33,19,1,1,2,-,1,35.2,32
S00104422,131,7,-,-,-,1,-,1,7,23,61,16,6,6,3,-,-,36.5,33
S00104423,84,-,-,-,1,-,2,-,5,21,28,16,2,5,3,1,-,39.2,34
S00104424,88,3,-,-,-,-,-,-,2,7,15,4,6,13,25,9,4,60.8,71
S00104425,116,3,-,1,-,-,1,-,13,36,37,11,5,6,2,-,1,35.7,31
S00104426,55,-,-,-,-,2,2,2,12,7,20,8,-,1,-,-,1,33.1,30
S00104427,58,4,-,-,1,1,-,-,6,15,27,3,-,1,-,-,-,30.6,30
S00104428,80,2,3,1,-,-,-,-,3,13,38,12,1,-,7,-,-,37.2,33
S00104429,76,-,-,-,-,-,-,-,3,14,18,12,10,8,9,-,2,49.7,45
S00104430,78,3,4,2,7,1,2,4,7,4,22,11,2,3,5,1,-,35.5,37
S00104431,87,1,-,1,-,-,-,-,8,13,44,12,1,6,1,-,-,38.3,37
S00104432,59,-,-,-,-,-,-,1,5,11,22,6,1,9,4,-,-,42.9,36
S00104433,90,9,1,1,1,-,1,-,25,20,21,9,-,2,-,-,-,27.2,26
S00104434,105,5,3,1,2,-,2,2,22,27,32,5,3,-,1,-,-,28.6,27
S00104435,63,-,2,-,-,-,-,-,6,10,18,13,3,5,5,1,-,43.3,36
S00104436,106,3,2,-,2,-,1,-,14,48,29,6,-,-,1,-,-,28.4,28
S00104437,120,7,5,2,1,-,-,-,13,35,48,7,1,1,-,-,-,28.3,29
S00104438,97,4,2,-,3,-,-,-,17,19,30,14,5,1,2,-,-,33.6,31
S00104439,63,2,-,-,-,-,1,3,3,14,19,7,1,4,7,1,1,42.4,36
S00104440,112,4,-,-,1,-,1,1,20,28,32,15,1,6,2,-,1,34.7,30
S00104441,100,1,-,-,-,1,2,-,15,24,31,20,2,3,1,-,-,35.8,31
S00104442,70,8,-,1,1,-,-,3,5,15,21,10,1,4,1,-,-,31.8,31
S00104443,60,1,-,-,-,-,-,-,8,14,23,11,-,2,-,-,1,36.2,34
