OA_CODE,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00103371,81,5,1,-,-,-,-,1,3,2,28,21,2,8,8,1,1,46.2,45
S00103372,88,6,1,1,1,-,1,2,4,10,19,19,5,11,6,1,1,44.3,43
S00103373,133,8,1,-,3,2,1,1,24,16,40,27,4,1,3,2,-,34.8,33
S00103374,76,2,-,-,-,-,1,-,12,24,17,14,1,3,1,1,-,35.4,29
S00103375,117,2,-,1,1,-,1,2,19,22,34,22,6,3,4,-,-,37.2,33
S00103376,58,-,-,-,3,-,-,-,-,11,21,14,5,3,1,-,-,41.3,36
S00103377,98,9,4,1,-,2,-,2,12,15,28,17,2,4,-,2,-,32.5,30
S00103378,134,2,2,1,2,-,2,1,22,35,38,22,3,2,1,-,1,33.4,30
S00103379,95,5,2,2,3,-,3,2,3,7,38,19,3,1,5,1,1,38.1,38
S00103380,96,5,2,1,3,-,-,2,8,18,25,18,9,3,2,-,-,36.3,34
S00103381,104,3,2,-,2,1,-,1,14,20,25,21,6,5,2,1,1,38.2,35
S00103382,108,6,-,-,-,-,1,1,25,33,29,10,-,2,1,-,-,30,28
S00103383,107,5,1,1,6,4,1,5,5,10,24,29,3,5,7,-,1,38.5,36
S00103384,129,8,6,4,2,1,1,-,14,21,34,18,11,6,2,1,-,34.5,31
S00103385,80,2,-,-,1,-,-,-,6,26,27,13,1,3,1,-,-,35.3,31
S00103386,89,4,1,-,-,-,-,-,7,19,31,15,3,3,5,1,-,38,33
S00103387,70,2,-,2,1,-,-,-,8,21,24,7,2,1,2,-,-,33.4,30
S00103388,79,5,-,1,1,-,-,-,5,20,31,13,-,3,-,-,-,33.6,31
S00103389,104,2,-,1,1,-,-,-,11,18,40,22,3,6,-,-,-,37.2,34
S00103390,137,5,5,1,9,-,2,3,8,12,29,25,11,18,8,1,-,42.4,43
S00103391,65,-,-,1,4,-,1,4,4,11,11,19,3,4,2,-,1,40.5,40
S00103392,125,6,5,1,6,1,2,-,13,14,36,26,5,5,2,3,-,37.2,35
S00103393,109,3,2,3,10,2,5,2,2,6,24,26,3,8,12,1,-,41.5,43
S00103394,102,3,1,-,5,1,2,3,4,3,10,33,6,11,15,4,1,51.1,54
S00103395,65,3,2,1,1,-,-,-,7,3,15,7,6,7,9,4,-,47.2,45
S00103396,70,2,2,-,-,-,-,-,2,14,12,12,9,7,9,-,1,48.3,50
S00103397,84,2,1,1,3,1,2,1,2,-,15,24,10,11,7,2,2,51.2,53
S00103398,84,7,3,2,5,1,2,1,3,2,23,15,3,8,8,-,1,39.8,39
S00103399,82,4,1,3,3,-,2,-,1,3,14,24,7,11,8,1,-,47.4,48
S00103400,90,3,2,1,2,-,2,1,6,7,27,27,3,5,4,-,-,40,40
S00103401,69,7,3,4,1,-,2,2,1,1,16,9,2,10,7,1,3,43.2,42
S00103402,84,-,-,-,-,-,-,-,-,1,2,3,2,19,28,15,14,78,82
S00103403,76,1,1,-,3,-,1,1,3,11,27,21,2,3,2,-,-,39.5,38
S00103404,84,-,-,1,-,-,-,5,9,15,33,14,4,1,2,-,-,36.8,34
S00103405,134,8,4,4,4,1,2,1,9,15,54,20,5,4,1,1,1,34.5,35
S00103406,125,3,2,4,11,2,2,2,2,-,13,21,5,29,20,6,3,53.2,61
S00103407,70,3,1,1,1,-,-,2,4,8,31,12,4,2,-,1,-,36.3,34
S00103408,104,3,4,1,3,1,-,6,15,5,23,24,1,10,4,3,1,40.7,40
S00103409,99,-,3,3,2,1,-,3,3,8,20,19,14,15,8,-,-,47.1,46
S00103410,97,3,3,1,6,-,-,1,2,6,20,22,11,12,8,-,2,47,49
S00103411,77,6,-,1,4,1,1,1,11,17,17,9,3,6,-,-,-,32.3,28
S00103412,77,-,1,1,3,2,1,2,5,4,14,18,6,9,7,2,2,48.3,50
S00103413,108,4,1,2,4,2,1,-,8,15,27,22,4,4,8,3,3,42.5,41
S00103414,85,1,2,-,2,-,2,-,9,2,10,22,14,15,5,1,-,50.5,57
S00103415,128,3,-,5,9,1,3,2,10,10,21,36,10,10,5,3,-,41.9,45
S00103416,116,3,1,1,2,1,1,1,14,13,22,24,14,10,6,1,2,43.5,43
S00103417,69,4,1,1,1,-,-,2,13,5,19,11,5,4,3,-,-,37.3,32
S00103418,91,-,1,-,2,-,1,1,5,15,26,25,2,10,3,-,-,43.8,43
S00103419,84,-,1,1,1,-,1,-,5,16,18,17,8,10,5,1,-,45.2,44
S00103420,99,2,1,1,-,-,-,7,43,15,16,8,1,5,-,-,-,29.2,24
S00103421,88,2,1,2,4,-,2,3,15,4,14,17,9,12,3,-,-,41.2,42
S00103422,174,6,5,3,4,1,2,5,31,23,36,33,13,6,5,-,1,36.2,34
S00103423,117,6,-,1,2,-,2,2,25,20,27,19,5,3,5,-,-,34.7,30
S00103424,134,3,3,2,13,2,3,3,5,13,26,36,6,14,3,2,-,40.1,42
S00103425,71,1,-,-,1,-,1,-,9,19,27,7,2,1,3,-,-,35,30
S00103426,96,2,2,-,4,2,2,-,10,10,17,13,9,11,12,1,1,45.4,44
S00103427,87,2,1,1,1,-,3,3,16,5,19,21,4,5,5,1,-,39.9,38
S00103428,103,1,-,-,1,-,-,-,8,17,22,28,9,9,6,2,-,46,47
S00103429,95,4,-,-,-,-,1,-,10,17,34,15,5,7,2,-,-,38.9,35
S00103430,98,4,1,1,3,2,-,1,13,10,38,17,6,2,-,-,-,35,33
S00103431,79,5,-,1,2,1,-,-,6,7,28,12,10,6,-,1,-,39.4,36
S00103432,104,-,2,-,5,-,-,9,31,10,21,16,4,2,1,2,1,33.3,28
S00103433,89,2,-,-,2,-,-,5,24,12,15,19,2,5,3,-,-,36.2,29
S00103434,80,2,-,-,-,-,-,2,9,22,31,2,4,7,-,-,1,35.9,31
S00103435,58,-,-,-,-,1,-,1,26,3,5,12,4,3,3,-,-,37.3,26
S00103436,106,6,-,-,-,-,-,-,9,24,33,20,9,4,1,-,-,37,34
S00103437,102,3,2,3,1,1,-,4,12,11,21,26,5,7,5,-,1,40.2,41
S00103438,74,4,-,-,2,-,-,1,12,13,27,6,5,2,2,-,-,34,30
S00103439,84,7,1,2,3,-,-,-,8,19,27,13,2,2,-,-,-,31.2,30
S00103440,82,-,-,-,-,-,2,3,8,23,29,9,3,5,-,-,-,35.3,31
S00103441,94,1,3,1,2,1,4,3,24,16,15,17,4,3,-,-,-,31.9,28
S00103442,62,2,-,-,1,1,2,1,14,7,9,13,3,6,3,-,-,37.9,32
S00103443,144,10,3,1,6,1,2,1,11,10,38,28,7,16,8,1,1,41.1,38
S00103444,65,3,-,-,1,-,1,-,3,14,24,9,1,7,1,1,-,39,35
S00103445,135,8,1,-,-,-,-,-,20,25,39,27,7,1,7,-,-,37.1,34
S00103446,91,2,-,-,-,1,-,1,32,21,22,8,1,2,1,-,-,30.4,26
S00103447,70,-,-,-,-,1,-,1,20,7,19,11,1,6,2,1,1,38.5,32
S00103448,186,1,5,4,6,-,2,2,54,14,39,42,7,7,3,-,-,34.5,32
S00103449,94,2,3,1,1,1,-,3,12,18,30,18,3,1,1,-,-,33.7,30
S00103450,98,5,3,2,2,-,1,2,16,12,16,21,7,7,3,1,-,37.9,35
S00103451,138,11,6,4,3,3,1,4,26,14,34,17,6,9,-,-,-,31.2,29
S00103452,86,1,3,1,4,1,1,2,9,7,23,23,3,2,5,1,-,39.3,41
S00103453,134,3,1,1,2,1,1,1,18,29,45,21,5,3,1,2,-,35.1,32
S00103454,148,5,-,1,1,-,1,-,38,29,39,19,5,5,4,-,1,34.3,29
S00103455,73,2,3,2,-,-,-,-,10,18,21,9,4,2,2,-,-,34.5,30
S00103456,135,1,-,-,2,3,4,14,52,18,16,18,5,2,-,-,-,29,23
S00103457,86,3,2,-,2,-,-,-,6,19,18,20,5,8,3,-,-,40.2,40
S00103458,74,1,-,-,1,-,1,-,4,6,10,7,4,18,15,6,1,58.8,67
S00103459,112,2,-,-,2,1,1,-,6,23,22,18,15,13,6,2,1,45.8,44
S00103460,108,3,1,-,-,-,1,3,19,18,25,20,11,2,5,-,-,37.9,31
S00103461,67,2,-,-,-,-,-,-,32,6,15,7,1,1,3,-,-,31.9,24
S00103462,91,3,3,-,6,1,1,-,2,7,23,18,10,8,7,2,-,44.5,44
S00103463,84,5,4,2,3,-,1,3,5,11,18,18,5,7,2,-,-,36.8,40
S00103464,116,5,1,1,4,1,2,2,10,23,30,28,4,4,1,-,-,35.2,32
S00103465,57,2,-,-,-,-,-,1,13,12,16,8,3,2,-,-,-,34.4,31
S00103466,51,2,1,-,-,-,-,4,17,10,10,7,-,-,-,-,-,29,26
S00103467,60,-,-,-,2,-,1,4,23,11,11,6,1,-,1,-,-,29.7,25
S00103468,116,3,-,-,2,1,-,9,34,28,28,9,-,1,1,-,-,29,26
S00103469,71,1,-,-,-,-,-,-,15,19,22,6,4,3,1,-,-,35.3,31
S00103470,71,3,1,1,-,-,-,2,21,12,17,8,1,5,-,-,-,32.6,28
S00103471,108,1,-,-,1,-,1,19,34,20,22,5,2,3,-,-,-,28.2,24
S00103472,87,2,1,1,-,-,3,3,14,18,22,18,-,-,4,1,-,35.4,31
S00103473,63,1,-,-,-,-,-,1,15,3,23,14,3,2,-,-,1,37.9,36
S00103474,437,2,-,-,2,1,2,129,165,67,35,22,1,8,2,1,-,25.4,21
S00103475,75,3,-,-,-,-,2,5,31,13,8,3,3,3,2,1,1,31.1,23
S00103476,76,3,2,1,2,1,1,4,12,17,19,9,1,2,1,1,-,31.5,28
S00103477,55,-,-,-,1,-,-,1,4,11,10,17,4,3,4,-,-,44.4,45
S00103478,112,2,4,-,2,1,-,3,29,16,31,11,4,6,3,-,-,33.5,29
S00103479,90,-,-,-,4,1,-,-,16,18,29,12,1,4,-,-,5,37,31
S00103480,109,4,2,2,1,2,2,1,16,22,33,11,4,5,2,1,1,34.7,30
S00103481,106,9,-,-,1,-,-,2,18,20,33,16,4,2,1,-,-,32,30
S00103482,141,9,7,3,7,2,-,2,22,9,31,33,7,3,5,1,-,35.3,37
S00103483,70,1,1,2,4,-,-,2,4,14,20,13,1,2,4,2,-,37.2,33
S00103484,98,5,3,-,1,-,1,1,11,18,32,16,3,4,3,-,-,36,32
S00103485,131,5,4,3,6,2,1,5,16,24,29,25,5,5,1,-,-,33.1,29
S00103486,238,14,3,4,11,-,2,4,30,22,49,34,3,10,13,15,24,44.5,37
S00103487,126,2,-,-,1,-,-,9,25,20,38,19,3,6,2,-,1,35.5,32
S00103488,72,5,1,-,2,-,1,-,22,10,22,9,-,-,-,-,-,28.1,27
S00103489,161,7,6,-,5,-,4,8,32,12,38,38,7,4,-,-,-,34,32
S00103490,103,1,1,-,1,-,-,3,26,11,29,18,5,6,2,-,-,37.1,32
S00103491,80,3,-,-,1,-,-,3,18,14,23,6,5,4,2,1,-,34.8,30
S00103492,53,1,-,-,-,-,-,-,11,10,21,9,-,-,1,-,-,34.4,32
S00103493,69,4,1,-,-,-,1,-,13,17,20,10,-,1,2,-,-,32.5,29
S00103494,176,3,-,-,2,-,-,9,63,45,39,7,2,2,1,3,-,28.8,26
S00103495,74,2,3,1,1,1,-,3,15,16,21,6,-,3,2,-,-,30.6,27
S00103496,77,-,-,-,-,-,1,1,28,15,10,12,1,4,5,-,-,35.8,27
S00103497,99,1,1,-,-,-,1,1,12,19,33,18,2,4,4,2,1,39.5,33
S00103498,115,4,-,1,4,-,-,1,28,33,26,11,3,3,1,-,-,30.8,27
S00103499,154,4,2,1,6,2,-,2,60,18,21,19,5,7,6,-,1,32.9,25
S00103500,131,5,1,-,2,-,1,5,49,20,34,8,3,3,-,-,-,28.7,25
S00103501,115,2,1,1,3,-,-,5,31,27,24,9,1,6,5,-,-,32.2,27
S00103502,105,-,-,-,-,-,3,5,21,29,33,10,1,2,1,-,-,31.9,29
S00103503,102,-,-,-,-,1,-,-,36,21,20,16,3,2,3,-,-,34.1,28
S00103504,165,4,2,2,6,1,3,9,54,13,14,29,6,17,2,1,2,35.8,26
S00103505,140,7,1,1,2,1,1,2,59,20,26,9,2,6,3,-,-,29,23
S00103506,119,6,-,-,2,-,1,2,34,14,30,16,6,2,4,1,1,34.6,30
S00103507,96,3,2,-,-,-,-,14,28,8,21,8,5,4,3,-,-,31.9,25
S00103508,80,4,1,1,2,-,-,1,15,12,22,14,1,4,3,-,-,34.9,31
S00103509,89,1,-,-,-,-,-,9,35,9,17,11,2,1,3,-,1,32.1,24
S00103510,131,-,-,-,1,-,-,10,62,28,12,7,6,4,1,-,-,28.9,23
S00103511,97,6,3,2,5,-,2,1,5,10,12,20,8,13,9,-,1,43.7,47
S00103512,163,1,2,1,3,1,5,12,37,24,38,25,6,7,1,-,-,33.3,28
S00103513,123,2,1,-,-,-,-,8,54,34,17,2,2,2,1,-,-,26.5,24
S00103514,50,-,-,-,-,-,-,1,16,16,14,1,2,-,-,-,-,28.8,27
S00103515,131,-,-,-,-,-,-,6,42,35,29,6,4,4,3,-,2,32.3,27
S00103516,92,1,-,-,3,-,-,5,26,18,26,7,1,4,-,1,-,31.3,27
S00103517,69,-,-,-,-,-,-,3,27,21,8,7,1,-,2,-,-,30.1,25
S00103518,89,4,2,-,2,-,-,9,34,15,17,5,1,-,-,-,-,25.4,24
S00103519,172,-,-,1,3,1,-,18,81,22,27,11,2,1,4,1,-,27.8,22
S00103520,68,-,-,-,-,-,-,1,16,17,20,7,-,5,2,-,-,35.2,30
S00103521,81,2,-,-,2,-,-,-,-,8,20,22,7,7,9,3,1,51.1,52
S00103522,81,6,2,-,1,-,-,1,9,6,25,8,1,12,7,2,1,42.3,38
S00103523,133,6,9,2,5,-,2,1,7,10,39,21,7,13,8,3,-,40.4,39
S00103524,480,13,2,3,86,58,183,69,3,2,34,15,3,8,1,-,-,19.5,16
S00103525,183,6,7,11,56,1,4,6,11,7,34,18,3,6,8,3,2,29.3,20
S00103526,142,10,4,3,5,3,1,-,14,17,47,22,3,4,4,4,1,35.5,34
S00103527,160,15,8,3,7,2,5,2,3,8,35,25,12,18,13,2,2,41.3,41
S00103528,66,4,2,-,2,-,-,-,3,12,27,9,-,4,3,-,-,36,34
S00103529,59,4,-,-,-,-,-,-,11,10,20,7,3,2,2,-,-,35.6,32
S00103530,95,5,-,-,1,-,1,-,1,16,51,7,6,5,1,1,-,37.6,37
S00103531,70,3,1,-,-,-,-,-,4,16,31,2,2,4,4,1,2,39.2,33
S00103532,59,-,-,-,-,-,-,-,4,14,21,10,4,3,2,1,-,40.2,33
S00103533,80,2,2,-,3,2,-,-,2,15,17,17,5,8,5,-,2,43.2,41
S00103534,121,9,-,-,3,1,2,-,7,9,31,29,13,7,8,2,-,43.1,43
S00103535,97,7,-,2,5,-,1,-,5,14,25,21,8,4,5,-,-,38.8,38
S00103536,93,3,3,1,2,1,-,2,4,4,25,27,5,8,7,1,-,44.5,45
S00103537,102,13,2,3,3,2,2,1,6,2,32,23,7,5,1,-,-,35,38
S00103538,96,2,2,1,6,1,4,4,3,14,22,26,5,3,3,-,-,37.3,38
S00103539,94,9,2,2,2,-,-,1,-,7,36,16,5,9,3,2,-,39.6,37
S00103540,89,5,3,3,8,2,1,4,2,2,14,23,6,7,5,3,1,41.2,45
S00103541,118,4,5,7,10,1,4,1,1,7,11,35,8,14,5,5,-,42.7,47
S00103542,117,5,1,1,4,-,1,1,7,9,33,26,6,12,9,2,-,44.2,43
S00103543,83,4,1,-,6,2,2,3,4,9,16,17,7,7,3,2,-,40.3,42
S00103544,114,4,4,3,2,-,1,2,4,17,35,21,9,9,1,1,1,39.1,35
S00103545,83,1,5,1,4,1,3,-,8,7,14,20,8,5,4,1,1,41.1,42
S00103546,96,5,4,1,2,1,2,6,4,10,23,15,11,5,5,-,2,40,38
S00103547,87,2,-,3,2,2,1,-,2,14,30,19,4,6,-,1,1,39.2,35
S00103548,111,4,-,-,1,-,-,-,11,32,38,13,2,3,6,-,1,37.2,33
S00103549,96,2,4,1,2,-,-,-,2,18,21,27,9,5,4,1,-,42.5,43
S00103550,112,5,2,-,1,-,-,4,11,23,30,23,3,6,1,2,1,37.3,34
S00103551,106,3,-,-,-,-,-,-,9,32,43,12,3,1,2,1,-,35,31
S00103552,94,1,-,-,-,-,-,-,14,28,30,17,1,3,-,-,-,35.6,32
S00103553,59,1,-,-,1,-,-,1,2,25,18,9,1,1,-,-,-,34.3,29
S00103554,58,1,-,-,1,-,-,-,5,14,25,9,1,1,-,1,-,35,32
S00103555,95,7,2,-,2,-,-,-,4,11,32,17,11,8,-,1,-,40.6,40
S00103556,89,4,1,-,-,-,-,-,6,14,50,9,-,3,1,-,1,35.6,34
S00103557,139,16,3,2,3,2,2,1,8,13,54,21,7,3,3,1,-,33.7,34
S00103558,124,8,2,-,3,-,-,2,12,15,42,21,6,6,4,1,2,38.3,36
S00103559,85,2,4,-,-,-,-,-,3,24,27,17,1,1,4,1,1,38,33
S00103560,85,3,-,-,2,-,-,4,5,17,37,10,6,1,-,-,-,34.6,32
S00103561,62,-,1,-,1,-,1,-,7,10,26,11,1,2,2,-,-,36.5,32
S00103562,69,5,-,-,1,-,-,2,5,14,23,13,-,4,2,-,-,36.4,33
S00103563,87,7,-,-,4,2,-,-,4,11,34,14,3,4,1,2,1,36.7,33
S00103564,80,4,2,1,4,1,-,-,3,16,21,11,4,6,5,2,-,39.2,36
S00103565,87,3,1,-,2,-,4,1,5,12,21,13,9,7,4,4,1,43.7,38
S00103566,69,3,1,-,4,1,-,2,7,8,23,14,2,2,1,1,-,35,33
S00103567,84,3,-,1,4,1,1,1,11,14,28,13,3,1,3,-,-,33.9,31
S00103568,69,1,-,-,-,-,-,2,5,9,33,9,3,3,3,-,1,40.4,37
S00103569,63,2,-,1,1,-,-,-,3,9,24,10,5,8,-,-,-,40.2,34
S00103570,86,1,2,1,4,-,2,-,1,2,4,14,8,13,20,11,3,61.9,71
S00103571,76,1,-,2,1,-,3,-,6,4,21,16,4,10,4,2,2,46.4,45
S00103572,167,15,7,2,11,1,3,5,11,12,39,29,14,8,5,2,3,37.2,35
S00103573,68,-,-,2,1,2,-,-,1,2,5,4,3,22,15,7,4,64.5,71
S00103574,161,8,6,7,14,6,7,3,7,2,23,39,12,19,6,1,1,39.7,44
S00103575,113,11,3,2,7,-,4,3,6,4,28,23,4,12,5,1,-,37.7,37
S00103576,117,20,3,5,3,-,1,2,2,4,34,15,9,8,6,3,2,38.3,38
S00103577,107,5,2,3,5,1,2,4,3,5,19,22,4,17,12,2,1,46.2,47
S00103578,100,2,1,2,10,1,4,2,4,2,12,30,4,6,15,2,3,46.9,48
S00103579,131,6,3,5,12,-,6,3,5,5,18,35,10,10,9,2,2,41.9,46
S00103580,94,8,5,3,1,2,1,2,2,3,18,22,9,5,12,-,1,43,46
S00103581,120,8,5,3,9,3,4,2,2,5,15,31,12,6,10,5,-,42.4,46
S00103582,190,15,8,3,24,8,5,5,9,12,41,34,6,9,9,1,1,33.4,32
S00103583,139,9,4,4,6,5,6,3,11,6,22,28,6,14,12,3,-,40.6,43
S00103584,162,13,6,2,7,1,5,4,14,14,38,25,9,14,7,2,1,37.2,35
S00103585,151,8,4,3,10,5,3,5,12,7,21,35,8,14,9,6,1,40.7,43
S00103586,150,13,3,4,6,1,6,2,6,13,31,44,4,13,4,-,-,37.8,42
S00103587,154,9,3,2,1,-,2,3,15,10,25,44,8,17,14,1,-,44.4,48
S00103588,123,6,1,-,8,-,3,5,11,13,27,30,7,10,2,-,-,38.1,37
S00103589,132,7,7,3,6,-,2,2,8,12,20,25,9,11,15,5,-,43,43
