,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00103303,61,61,50,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103304,153,149,127,16,4,-,-,2,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103305,73,73,50,20,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103306,86,83,63,20,-,-,-,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103307,86,86,61,20,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103308,78,73,63,3,1,-,2,4,-,4,-,-,-,1,3,-,-,-,-,-,-,-,1,1,-
S00103309,174,171,130,34,2,-,-,5,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00103310,57,55,48,3,-,-,-,4,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103311,190,186,149,28,-,3,3,3,-,3,-,-,-,3,-,-,-,-,1,-,1,-,-,-,-
S00103312,122,117,59,53,1,-,1,3,2,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-
S00103313,166,165,122,37,1,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103314,90,80,41,19,3,-,1,16,-,10,3,1,-,2,4,-,-,-,-,-,-,-,-,-,-
S00103315,242,201,113,39,6,-,7,36,3,23,1,2,1,13,6,4,3,1,1,1,-,-,10,5,5
S00103316,246,170,74,46,4,1,8,37,6,54,8,5,2,32,7,8,8,-,2,-,2,-,6,2,4
S00103317,66,59,28,11,1,-,9,10,2,3,-,-,-,3,-,1,1,-,-,-,-,-,1,1,-
S00103318,125,108,63,24,6,-,2,13,1,16,-,7,-,9,-,-,-,-,-,-,-,-,-,-,-
S00103319,86,84,41,20,2,-,6,15,-,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103320,117,82,35,18,4,-,2,23,1,34,-,8,-,15,11,-,-,-,-,-,-,-,-,-,-
S00103321,64,33,10,7,2,-,1,13,1,20,-,3,-,13,4,1,1,-,-,-,-,-,9,9,-
S00103322,68,60,39,5,5,-,-,11,1,7,-,3,-,1,3,-,-,-,-,-,-,-,-,-,-
S00103323,106,97,32,35,4,-,4,22,1,7,-,-,-,6,1,-,-,-,1,-,1,-,-,-,-
S00103324,67,61,27,17,-,-,-,17,2,3,-,-,-,2,1,-,-,-,1,1,-,-,-,-,-
S00103325,130,109,63,26,6,-,-,14,-,17,2,1,-,5,9,2,2,-,-,-,-,-,2,2,-
S00103326,106,93,57,13,10,-,1,12,-,12,6,1,-,-,5,-,-,-,-,-,-,-,1,1,-
S00103327,111,98,39,22,7,1,6,23,-,10,2,3,-,5,-,2,2,-,-,-,-,-,1,1,-
S00103328,69,62,36,12,-,-,6,8,-,2,-,-,-,-,2,-,-,-,-,-,-,-,5,5,-
S00103329,103,91,55,15,7,-,-,14,-,6,-,-,2,1,3,-,-,-,-,-,-,-,6,5,1
S00103330,53,48,18,12,-,-,-,18,3,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103331,91,78,48,11,3,-,4,12,1,11,-,-,-,11,-,1,1,-,-,-,-,-,-,-,-
S00103332,251,139,37,27,3,-,1,71,5,102,9,9,-,69,15,2,2,-,2,2,-,-,1,-,1
S00103333,75,61,24,19,6,-,-,12,2,4,-,-,-,3,1,2,2,-,-,-,-,-,6,2,4
S00103334,60,54,29,15,2,-,2,6,-,6,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-
S00103335,104,97,50,21,2,-,5,19,-,3,-,-,-,1,2,2,1,1,-,-,-,-,2,2,-
S00103336,87,80,59,14,2,-,-,5,4,2,-,2,-,-,-,-,-,-,1,-,-,1,-,-,-
S00103337,55,53,24,9,6,-,2,12,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103338,158,133,60,26,7,-,-,40,3,13,-,2,-,5,6,7,7,-,-,-,-,-,2,2,-
S00103339,76,72,41,8,-,2,2,19,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103340,81,73,52,12,1,-,1,7,1,5,-,1,-,2,2,2,-,2,-,-,-,-,-,-,-
S00103341,98,89,51,21,2,-,3,12,3,5,-,4,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103342,127,112,55,35,2,2,1,17,2,8,2,2,-,2,2,1,1,-,4,2,2,-,-,-,-
S00103343,88,80,30,35,7,-,2,6,1,6,-,3,-,-,3,-,-,-,-,-,-,-,1,1,-
S00103344,159,145,74,34,13,1,4,19,9,5,1,-,-,1,3,-,-,-,-,-,-,-,-,-,-
S00103345,67,67,42,20,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103346,94,86,53,19,6,-,-,8,3,5,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103347,159,136,65,43,11,-,3,14,6,10,6,1,-,1,2,2,1,1,-,-,-,-,5,4,1
S00103348,109,96,31,38,4,1,5,17,3,7,2,4,-,-,1,3,3,-,-,-,-,-,-,-,-
S00103349,92,76,26,15,8,2,4,21,3,11,6,2,-,2,1,1,1,-,-,-,-,-,1,-,1
S00103350,98,85,37,18,5,-,1,24,2,9,1,5,-,2,1,-,-,-,-,-,-,-,2,2,-
S00103351,81,76,35,20,2,1,3,15,1,3,1,2,-,-,-,1,1,-,-,-,-,-,-,-,-
S00103352,73,70,44,15,1,-,1,9,-,3,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-
S00103353,154,149,52,26,12,2,3,54,1,3,-,2,-,-,1,-,-,-,-,-,-,-,1,-,1
S00103354,110,100,67,26,3,-,1,3,2,6,-,6,-,-,-,-,-,-,2,2,-,-,-,-,-
S00103355,104,96,49,31,3,-,1,12,2,3,-,-,-,3,-,2,2,-,-,-,-,-,1,-,1
S00103356,80,78,59,9,-,-,2,8,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103357,85,83,40,30,3,-,6,4,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103358,99,92,47,19,7,-,7,12,1,3,1,2,-,-,-,1,1,-,-,-,-,-,2,2,-
S00103359,90,85,49,23,3,-,-,10,2,3,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103360,134,134,81,37,4,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103361,96,94,50,27,4,-,3,10,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103362,95,94,62,29,-,-,1,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103363,89,86,58,20,1,-,3,4,-,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
S00103364,121,103,75,21,3,-,-,4,2,12,9,3,-,-,-,-,-,-,1,1,-,-,3,-,3
S00103365,115,114,68,41,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00103366,119,110,87,16,2,-,-,5,-,9,5,3,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103367,68,68,48,19,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103368,139,138,99,28,4,-,1,6,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103369,157,151,95,37,7,-,-,12,1,5,1,-,3,-,1,-,-,-,-,-,-,-,-,-,-
S00103370,103,102,49,44,2,-,1,6,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00103371,81,77,39,31,3,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103372,88,86,50,29,-,-,1,6,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1
S00103373,133,130,80,27,3,-,2,18,1,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103374,76,62,23,23,10,-,-,6,-,14,-,11,-,-,3,-,-,-,-,-,-,-,-,-,-
S00103375,117,113,67,38,2,-,-,6,2,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103376,58,53,31,14,2,-,1,5,2,2,1,-,-,1,-,-,-,-,-,-,-,-,1,1,-
S00103377,98,93,65,19,2,-,-,7,1,3,-,-,-,-,3,-,-,-,1,-,1,-,-,-,-
S00103378,134,128,65,42,6,-,2,13,2,1,-,-,-,-,1,2,2,-,-,-,-,-,1,-,1
S00103379,95,90,55,22,5,-,-,8,2,1,-,1,-,-,-,1,1,-,-,-,-,-,1,1,-
S00103380,96,93,53,27,1,-,-,12,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103381,104,92,58,20,4,-,2,8,3,9,8,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103382,108,100,49,24,1,-,4,22,1,7,-,1,-,6,-,-,-,-,-,-,-,-,-,-,-
S00103383,107,89,54,23,4,-,-,8,-,17,9,8,-,-,-,-,-,-,-,-,-,-,1,1,-
S00103384,129,107,63,34,2,-,-,8,5,16,-,15,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103385,80,67,39,14,2,-,7,5,2,8,2,3,-,2,1,2,2,-,1,-,1,-,-,-,-
S00103386,89,76,52,13,2,-,7,2,2,10,-,10,-,-,-,-,-,-,1,-,1,-,-,-,-
S00103387,70,65,34,11,1,-,8,11,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103388,79,70,35,16,7,-,2,10,1,7,-,6,-,-,1,1,1,-,-,-,-,-,-,-,-
S00103389,104,99,59,21,2,-,11,6,1,3,-,2,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103390,137,127,83,34,1,-,2,7,-,8,6,1,-,-,1,2,2,-,-,-,-,-,-,-,-
S00103391,65,63,35,19,2,-,-,7,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103392,125,111,60,36,3,-,-,12,3,7,6,1,-,-,-,1,1,-,1,1,-,-,2,1,1
S00103393,109,97,84,6,-,-,3,4,1,9,5,4,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103394,102,99,91,6,1,-,-,1,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103395,65,53,44,5,1,-,1,2,-,11,-,1,-,4,6,1,1,-,-,-,-,-,-,-,-
S00103396,70,62,45,9,1,-,4,3,2,6,4,-,-,1,1,-,-,-,-,-,-,-,-,-,-
S00103397,84,84,75,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103398,84,76,65,5,-,-,-,6,1,6,6,-,-,-,-,-,-,-,1,-,1,-,-,-,-
S00103399,82,82,68,5,1,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103400,90,85,49,15,2,3,1,15,3,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103401,69,62,40,20,1,-,-,1,-,6,-,3,-,-,3,-,-,-,1,-,1,-,-,-,-
S00103402,84,83,72,8,1,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103403,76,68,52,14,-,-,-,2,2,3,-,2,-,-,1,-,-,-,3,-,3,-,-,-,-
S00103404,84,81,49,19,3,-,-,10,-,1,-,-,-,1,-,1,1,-,-,-,-,-,1,1,-
S00103405,134,121,75,34,4,-,-,8,3,9,-,3,-,3,3,-,-,-,1,1,-,-,-,-,-
S00103406,125,125,96,27,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103407,70,67,42,15,3,-,-,7,-,3,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103408,104,90,51,25,1,-,-,13,7,7,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-
S00103409,99,99,54,26,3,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103410,97,88,46,34,1,-,2,5,2,3,-,1,-,-,2,1,-,1,3,-,3,-,-,-,-
S00103411,77,76,38,27,4,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103412,77,76,41,30,-,-,-,5,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103413,108,98,74,16,2,-,2,4,4,3,-,1,-,-,2,-,-,-,-,-,-,-,3,-,3
S00103414,85,81,44,29,2,-,-,6,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103415,128,122,73,35,4,-,-,10,1,2,-,-,-,-,2,-,-,-,-,-,-,-,3,-,3
S00103416,116,116,73,26,5,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103417,69,68,37,23,3,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00103418,91,86,58,15,4,-,3,6,3,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103419,84,78,50,17,2,-,1,8,2,3,-,2,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103420,99,95,43,35,1,2,-,14,1,2,-,1,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103421,88,80,48,21,5,-,-,6,6,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-
S00103422,174,167,73,73,9,-,-,12,4,3,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-
S00103423,117,115,66,35,4,-,-,10,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
S00103424,134,132,75,50,-,-,-,7,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103425,71,67,27,23,6,-,1,10,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103426,96,96,50,35,4,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103427,87,85,40,35,2,-,-,8,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103428,103,93,66,10,6,-,-,11,-,10,-,2,-,5,3,-,-,-,-,-,-,-,-,-,-
S00103429,95,91,58,20,7,-,2,4,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103430,98,89,49,22,2,-,1,15,-,7,-,7,-,-,-,-,-,-,1,1,-,-,1,1,-
S00103431,79,76,42,24,3,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3
S00103432,104,98,42,41,9,-,-,6,1,1,-,-,1,-,-,2,2,-,-,-,-,-,2,-,2
S00103433,89,85,41,30,3,-,4,7,-,3,-,-,-,3,-,-,-,-,1,-,1,-,-,-,-
S00103434,80,75,44,19,1,-,-,11,1,1,1,-,-,-,-,2,2,-,-,-,-,-,1,-,1
S00103435,58,55,22,25,-,-,3,5,-,3,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103436,106,100,59,27,2,-,-,12,-,5,-,3,-,-,2,-,-,-,-,-,-,-,1,-,1
S00103437,102,102,45,28,8,-,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103438,74,66,37,18,2,-,-,9,1,4,-,4,-,-,-,3,3,-,-,-,-,-,-,-,-
S00103439,84,78,45,16,6,-,-,11,4,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103440,82,68,31,21,5,-,1,10,2,8,1,2,-,5,-,4,4,-,-,-,-,-,-,-,-
S00103441,94,89,45,23,2,1,1,17,3,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103442,62,57,31,19,2,-,-,5,2,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
S00103443,144,137,76,40,4,-,1,16,2,4,-,1,-,2,1,-,-,-,-,-,-,-,1,1,-
S00103444,65,59,31,18,3,-,1,6,2,-,-,-,-,-,-,1,1,-,-,-,-,-,3,-,3
S00103445,135,122,75,33,4,-,2,8,2,8,3,2,-,1,2,-,-,-,-,-,-,-,3,1,2
S00103446,91,87,27,24,2,-,5,29,2,1,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
S00103447,70,62,25,22,3,-,4,8,1,7,-,1,-,1,5,-,-,-,-,-,-,-,-,-,-
S00103448,186,181,86,69,3,-,-,23,1,4,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-
S00103449,94,85,39,26,5,-,1,14,3,5,1,2,-,-,2,1,1,-,-,-,-,-,-,-,-
S00103450,98,96,45,25,3,-,1,22,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103451,138,130,48,59,10,-,1,12,-,2,-,1,-,1,-,-,-,-,-,-,-,-,6,-,6
S00103452,86,86,50,26,1,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103453,134,127,65,39,2,-,-,21,2,2,-,-,-,2,-,1,1,-,1,1,-,-,1,1,-
S00103454,148,138,67,55,-,-,3,13,3,6,-,5,-,1,-,-,-,-,-,-,-,-,1,1,-
S00103455,73,61,28,18,1,-,2,12,2,7,-,3,-,2,2,-,-,-,1,1,-,-,2,2,-
S00103456,135,132,67,47,3,-,3,12,-,2,-,-,2,-,-,1,1,-,-,-,-,-,-,-,-
S00103457,86,81,47,23,6,-,-,5,-,5,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
S00103458,74,74,55,15,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103459,112,103,66,13,4,-,2,18,4,4,-,4,-,-,-,-,-,-,-,-,-,-,1,1,-
S00103460,108,97,47,26,6,-,1,17,-,6,-,2,-,-,4,1,1,-,-,-,-,-,4,3,1
S00103461,67,59,23,21,2,-,1,12,-,6,-,-,-,-,6,2,2,-,-,-,-,-,-,-,-
S00103462,91,91,46,29,3,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103463,84,80,49,18,5,-,-,8,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,1,1
S00103464,116,108,57,25,2,-,7,17,2,5,-,4,-,1,-,-,-,-,-,-,-,-,1,1,-
S00103465,57,50,21,14,1,-,1,13,-,7,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-
S00103466,51,41,29,2,4,-,3,3,-,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103467,60,59,21,14,2,-,-,22,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103468,116,110,50,17,16,-,3,24,1,4,1,-,-,1,2,1,1,-,-,-,-,-,-,-,-
S00103469,71,63,29,17,3,-,4,10,-,3,1,-,-,2,-,3,3,-,1,-,1,-,1,1,-
S00103470,71,60,33,16,1,-,1,9,1,8,-,1,-,2,5,2,1,1,-,-,-,-,-,-,-
S00103471,108,80,56,12,2,-,3,7,1,27,2,-,-,24,1,-,-,-,-,-,-,-,-,-,-
S00103472,87,80,63,6,2,-,1,8,-,7,1,4,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103473,63,58,39,11,-,-,1,7,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103474,437,382,164,112,27,-,21,58,9,33,-,3,-,17,13,5,5,-,2,-,2,-,6,6,-
S00103475,75,73,35,15,3,1,3,16,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103476,76,66,44,6,2,-,6,8,1,5,2,-,-,1,2,1,1,-,2,2,-,-,1,-,1
S00103477,55,51,36,7,1,1,2,4,2,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-
S00103478,112,99,55,22,3,-,5,14,-,4,-,-,1,2,1,8,8,-,-,-,-,-,1,-,1
S00103479,90,87,57,15,2,-,5,8,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-
S00103480,109,102,60,22,5,-,2,13,3,2,-,1,-,-,1,1,1,-,-,-,-,-,1,-,1
S00103481,106,92,52,25,5,-,-,10,3,8,1,5,-,1,1,1,1,-,-,-,-,-,2,2,-
S00103482,141,133,72,37,1,-,-,23,3,3,-,-,-,-,3,1,1,-,-,-,-,-,1,-,1
S00103483,70,65,34,17,3,-,1,10,-,3,-,-,-,3,-,2,2,-,-,-,-,-,-,-,-
S00103484,98,86,52,23,2,-,1,8,6,2,2,-,-,-,-,4,4,-,-,-,-,-,-,-,-
S00103485,131,120,75,28,1,-,4,12,1,5,1,-,-,2,2,5,5,-,-,-,-,-,-,-,-
S00103486,238,207,114,58,16,1,3,15,2,27,2,2,-,17,6,-,-,-,-,-,-,-,2,-,2
S00103487,126,110,62,19,7,-,-,22,-,14,5,9,-,-,-,-,-,-,1,1,-,-,1,1,-
S00103488,72,63,29,22,1,-,1,10,2,5,-,4,-,-,1,2,2,-,-,-,-,-,-,-,-
S00103489,161,133,92,30,1,-,2,8,4,23,6,-,8,3,6,1,1,-,-,-,-,-,-,-,-
S00103490,103,84,54,12,1,-,7,10,1,8,-,4,-,4,-,5,5,-,-,-,-,-,5,2,3
S00103491,80,78,51,15,2,-,3,7,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103492,53,42,26,5,1,2,-,8,1,10,1,4,-,5,-,-,-,-,-,-,-,-,-,-,-
S00103493,69,59,28,16,3,-,-,12,3,7,1,1,-,4,1,-,-,-,-,-,-,-,-,-,-
S00103494,176,161,72,55,7,1,2,24,3,10,5,2,-,3,-,-,-,-,-,-,-,-,2,-,2
S00103495,74,67,32,20,3,-,1,11,2,1,-,-,-,1,-,-,-,-,-,-,-,-,4,3,1
S00103496,77,72,43,8,7,1,5,8,-,2,-,1,-,1,-,2,1,1,1,-,1,-,-,-,-
S00103497,99,79,46,15,3,-,3,12,-,17,-,9,4,4,-,-,-,-,-,-,-,-,3,3,-
S00103498,115,96,59,16,1,-,4,16,-,10,1,3,-,5,1,9,9,-,-,-,-,-,-,-,-
S00103499,154,144,54,40,12,1,3,34,5,4,1,1,-,1,1,-,-,-,-,-,-,-,1,-,1
S00103500,131,115,49,36,2,-,8,20,3,6,-,3,-,3,-,6,6,-,-,-,-,-,1,-,1
S00103501,115,98,45,29,7,-,1,16,3,13,-,2,-,8,3,1,1,-,-,-,-,-,-,-,-
S00103502,105,94,43,25,3,-,4,19,1,5,-,4,-,-,1,5,5,-,-,-,-,-,-,-,-
S00103503,102,97,66,19,4,-,3,5,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103504,165,156,86,44,8,1,-,17,-,5,-,1,-,3,1,-,-,-,4,4,-,-,-,-,-
S00103505,140,128,63,32,8,1,2,22,2,6,-,4,-,-,2,-,-,-,1,1,-,-,3,2,1
S00103506,119,103,50,33,4,-,2,14,4,10,-,3,-,5,2,-,-,-,-,-,-,-,2,1,1
S00103507,96,83,45,19,2,-,-,17,3,7,-,1,-,6,-,-,-,-,-,-,-,-,3,2,1
S00103508,80,57,37,11,1,-,3,5,2,21,8,-,-,13,-,-,-,-,-,-,-,-,-,-,-
S00103509,89,57,21,16,-,2,-,18,2,23,-,6,-,15,2,-,-,-,-,-,-,-,7,5,2
S00103510,131,70,23,25,5,2,-,15,8,46,5,2,-,28,11,1,1,-,-,-,-,-,6,4,2
S00103511,97,93,71,11,1,-,6,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-
S00103512,163,149,97,20,6,-,5,21,2,5,-,-,-,-,5,6,6,-,-,-,-,-,1,1,-
S00103513,123,111,35,30,10,-,5,31,2,10,-,-,-,8,2,-,-,-,-,-,-,-,-,-,-
S00103514,50,44,16,8,6,-,5,9,-,6,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-
S00103515,131,118,50,27,10,-,9,22,3,9,-,4,1,2,2,-,-,-,-,-,-,-,1,1,-
S00103516,92,71,41,16,3,1,4,6,-,19,4,-,-,-,15,2,2,-,-,-,-,-,-,-,-
S00103517,69,65,32,15,6,-,5,7,1,2,-,1,-,-,1,-,-,-,-,-,-,-,1,1,-
S00103518,89,81,35,12,3,-,5,26,-,5,-,2,-,2,1,1,1,-,2,-,2,-,-,-,-
S00103519,172,160,83,47,5,-,1,24,2,7,-,-,-,3,4,2,2,-,-,-,-,-,1,1,-
S00103520,68,57,29,9,4,-,-,15,-,9,-,1,-,4,4,-,-,-,-,-,-,-,2,2,-
S00103521,81,79,52,18,2,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00103522,81,74,50,15,1,-,-,8,-,2,-,2,-,-,-,4,4,-,-,-,-,-,1,1,-
S00103523,133,127,92,27,2,-,-,6,-,5,-,4,-,-,1,-,-,-,1,-,1,-,-,-,-
S00103524,480,378,177,138,8,-,-,55,17,81,-,7,-,56,18,3,3,-,-,-,-,-,1,1,-
S00103525,183,160,96,54,-,-,1,9,1,20,2,2,1,11,4,2,2,-,-,-,-,-,-,-,-
S00103526,142,133,87,25,6,-,4,11,-,9,-,7,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103527,160,145,93,39,5,-,1,7,3,11,7,4,-,-,-,-,-,-,1,-,1,-,-,-,-
S00103528,66,62,38,14,1,-,-,9,1,3,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
S00103529,59,58,36,16,2,-,-,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00103530,95,90,60,12,9,-,-,9,-,5,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103531,70,65,47,11,-,-,1,6,4,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00103532,59,58,38,16,-,-,1,3,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103533,80,76,54,16,5,-,1,-,1,2,-,1,-,-,1,-,-,-,-,-,-,-,1,-,1
S00103534,121,113,77,24,3,-,-,9,-,7,-,6,-,-,1,1,1,-,-,-,-,-,-,-,-
S00103535,97,88,60,19,2,-,-,7,3,5,-,2,-,-,3,1,1,-,-,-,-,-,-,-,-
S00103536,93,90,58,14,5,-,-,13,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
S00103537,102,99,61,24,3,-,1,10,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103538,96,91,65,11,5,-,-,10,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103539,94,92,60,17,3,-,1,11,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103540,89,87,65,14,-,-,-,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103541,118,114,68,29,7,-,-,10,3,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103542,117,114,73,32,1,-,-,8,-,3,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
S00103543,83,83,50,30,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103544,114,102,56,38,2,-,-,6,7,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103545,83,80,58,21,-,-,-,1,-,2,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-
S00103546,96,96,51,36,1,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103547,87,82,49,15,1,-,5,12,2,2,1,-,-,1,-,-,-,-,-,-,-,-,1,1,-
S00103548,111,105,62,27,7,-,1,8,3,3,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-
