,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00107054,60,40,35,4,-,-,-,1,1,6,-,2,-,2,2,7,7,-,-,-,-,-,6,3,3
S00107055,125,119,91,18,-,-,4,6,-,2,-,2,-,-,-,4,4,-,-,-,-,-,-,-,-
S00107056,134,133,85,24,1,-,18,5,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00107057,69,64,43,15,2,-,1,3,-,5,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-
S00107058,93,86,49,24,5,-,5,3,-,7,-,5,-,2,-,-,-,-,-,-,-,-,-,-,-
S00107059,86,86,61,21,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107060,72,71,56,13,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00107061,136,130,95,13,3,1,9,9,2,1,-,1,-,-,-,-,-,-,2,2,-,-,1,1,-
S00107062,84,74,47,12,4,-,7,4,1,7,-,3,-,4,-,2,2,-,-,-,-,-,-,-,-
S00107063,86,81,67,4,-,-,4,6,-,4,2,2,-,-,-,1,1,-,-,-,-,-,-,-,-
S00107064,60,54,35,11,2,-,4,2,1,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107065,121,117,48,31,6,-,10,22,-,2,-,2,-,-,-,2,2,-,-,-,-,-,-,-,-
S00107066,154,136,89,29,4,-,5,9,1,16,6,6,-,2,2,1,1,-,-,-,-,-,-,-,-
S00107067,65,58,47,7,-,-,-,4,2,2,-,1,-,-,1,-,-,-,-,-,-,-,3,3,-
S00107068,62,59,37,17,1,-,1,3,1,1,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-
S00107069,108,105,71,22,2,-,4,6,-,2,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-
S00107070,93,89,67,9,1,1,6,5,-,1,-,-,-,1,-,-,-,-,-,-,-,-,3,3,-
S00107071,92,84,60,6,1,-,15,2,1,5,-,4,-,1,-,2,2,-,-,-,-,-,-,-,-
S00107072,122,90,69,9,3,-,3,6,3,20,1,5,-,12,2,8,8,-,-,-,-,-,1,1,-
S00107073,53,50,45,3,-,-,-,2,-,2,-,-,1,1,-,-,-,-,1,-,1,-,-,-,-
S00107074,138,135,77,28,2,-,16,12,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,2,-
